level,task_set_acceptance,service_failure,complete_image_dice,recall,image_miss,accepted_cell_atp,accepted_cell_iit,accepted_cell_peak,accepted_cells
1,0.85,0.15,0.3610309651954245,0.5656499919098593,0.1857,40.233834741520404,748.2416679740335,76.8456978341727,170
2,0.7,0.3,0.3587341026412766,0.4492940806134099,0.3392,43.89467496663291,1655.4790105285324,76.38062406637009,140
3,0.45,0.55,0.2414570548391218,0.293874209727605,0.5752,49.73087477902857,2099.0219140362315,76.46721959154041,90
4,0.35,0.65,0.17454955737957256,0.2282825302992874,0.6709999999999999,52.87622899052621,2554.2472642358466,76.592948987222,70
5,0.15,0.85,0.0742328250897837,0.09476222528243575,0.8599,59.326632236593845,5493.23818178403,76.06184364878499,30
