method,defective_region_stratum,cells,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate
EDF-Dynamic-Reservation,1,200,0.34613010728372673,0.4800780855665929,0.2559458333333332
EDF-Dynamic-Reservation,2,200,0.4031135474556903,0.5421458779022308,0.15348545364891547
EDF-Dynamic-Reservation,3-4,200,0.46006671481708167,0.570656042596027,0.12891725768321508
HBTASP-Dynamic,1,200,0.29494777903967373,0.4143249454966577,0.3818762061403513
HBTASP-Dynamic,2,200,0.36349937161451484,0.47825492619355514,0.2156913214990142
HBTASP-Dynamic,3-4,200,0.451414420233612,0.5305972558053142,0.07627733451536638
