metric,difference_in_differences,ci95_low,ci95_high
mandatory_dmr,0.07924554166666668,0.062473875313020455,0.09601720802031291
historical_completed_only_dice,0.007919451751530401,0.005681829730140199,0.010157073772920603
historical_coverage_adjusted_dice,-0.04273114616871603,-0.04807735974463796,-0.0373849325927941
historical_weighted_coverage_utility,-0.04747757355008295,-0.05349898577881038,-0.04145616132135551
historical_mandatory_effective_dice,-0.04305892205004646,-0.05336787922409657,-0.03274996487599635
mean_complete_image_dice,-0.043708649385379994,-0.04999621486275724,-0.03742108390800275
pixel_defect_recall,-0.05439147478718425,-0.062472644939217614,-0.04631030463515089
image_complete_miss_rate,0.10581016666666666,0.09322480184953556,0.11839553148379776
