method,defective_region_stratum,cells,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate
EDF-Dynamic-Reservation,1,200,0.34520204181886066,0.4694461021115475,0.27034309210526325
EDF-Dynamic-Reservation,2,200,0.40676389383048056,0.5330908852478671,0.16563202662721932
EDF-Dynamic-Reservation,3-4,200,0.45866718904763915,0.5638611446970481,0.13164273049645378
HBTASP-Dynamic,1,200,0.344497388038639,0.4517392762636399,0.28555789473684207
HBTASP-Dynamic,2,200,0.42167511326429497,0.5214315981927125,0.13458308678500983
HBTASP-Dynamic,3-4,200,0.47290920664999997,0.5500400032978182,0.05264140070921978
