period_ms,lines,configuration,mandatory_dmr,historical_coverage_adjusted_dice,historical_weighted_coverage_utility,historical_mandatory_effective_dice,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate
50,4,EDF-Dynamic-Reservation,0.719,0.22996564000000771,0.22723224435851944,0.19344040000000035,0.19356680579629854,0.24214541300559977,0.5965999999999999
50,4,HBTASP-Dynamic,0.25,0.166397287500002,0.23845945854042436,0.516300000000001,0.18279017046173685,0.17819923955974135,0.54665
50,5,EDF-Dynamic-Reservation,0.7684,0.1844339850000064,0.18248154139359168,0.1594334400000003,0.15507870103890478,0.19199002707786172,0.6758
50,5,HBTASP-Dynamic,0.4,0.1331142930000016,0.19238489167146433,0.4130400000000008,0.14813245354651025,0.14417221210164707,0.63422
50,6,EDF-Dynamic-Reservation,0.8103999999999999,0.15347290166667188,0.1514109619886151,0.13052064000000022,0.1276192822400834,0.1573984316419375,0.7336666666666667
50,6,HBTASP-Dynamic,0.5,0.11092956000000129,0.16013197232285353,0.3442000000000006,0.12313170383054928,0.11968140149317423,0.6935833333333333
50,7,EDF-Dynamic-Reservation,0.8356285714285715,0.13116392428571877,0.12986465966811894,0.11315329142857158,0.11026941551885727,0.1365898678514575,0.7697142857142858
50,7,HBTASP-Dynamic,0.5714285714285714,0.09507756750000114,0.13782383124727218,0.295028571428572,0.10620523861055939,0.10139024897179964,0.7336857142857143
50,8,EDF-Dynamic-Reservation,0.8595,0.11498282000000386,0.11361612217925943,0.09672020000000014,0.09678340289814917,0.12107270650279986,0.7983
50,8,HBTASP-Dynamic,0.625,0.083197784062501,0.12124741222131594,0.2581500000000005,0.09204254198519406,0.08667113509908585,0.7639375
50,9,EDF-Dynamic-Reservation,0.8721555555555556,0.10201638555555906,0.10100584640853671,0.08800811555555568,0.08576510095911116,0.10623656388446692,0.820888888888889
50,9,HBTASP-Dynamic,0.6666666666666666,0.07395435000000086,0.10790099322288882,0.2294666666666671,0.08333537256247518,0.07764861714918052,0.7875555555555556
50,10,EDF-Dynamic-Reservation,0.8832000000000001,0.09222477000000318,0.09117768211990687,0.08040512000000011,0.07709792737908681,0.09866377910874258,0.8394
50,10,HBTASP-Dynamic,0.7,0.0665577360000008,0.09732665856821196,0.2065200000000004,0.07456816734777602,0.06889534588999002,0.8101100000000001
60,4,EDF-Dynamic-Reservation,0.537,0.3228728800000049,0.3217773281674427,0.3187292000000006,0.24114385304584823,0.35179083899334085,0.4864
60,4,HBTASP-Dynamic,0.25,0.27511207500001256,0.3540134307272069,0.516300000000001,0.27357260431112906,0.33375131706914185,0.37520000000000003
60,5,EDF-Dynamic-Reservation,0.627,0.2587808500000039,0.2576992983007136,0.2567732000000005,0.1902378306055193,0.26964738278795564,0.5938
60,5,HBTASP-Dynamic,0.4,0.22008612300001004,0.28768415027029054,0.4130400000000008,0.22990717385305864,0.27006367183916385,0.46042000000000005
60,6,EDF-Dynamic-Reservation,0.6903333333333334,0.21522607333333657,0.2145113585015917,0.2131745333333337,0.1608455617910393,0.22519973470822582,0.6576666666666666
60,6,HBTASP-Dynamic,0.5,0.18340706750000837,0.24212479240028245,0.3442000000000006,0.19454206028913096,0.22703512854778904,0.5280833333333332
60,7,EDF-Dynamic-Reservation,0.7346857142857143,0.18490926500000276,0.18411062669269826,0.1826423542857146,0.138483864995179,0.19382678399319525,0.7048285714285714
60,7,HBTASP-Dynamic,0.5714285714285714,0.15720816321429287,0.20960971579706164,0.295028571428572,0.1689341149798939,0.19348749970517876,0.5799571428571428
60,8,EDF-Dynamic-Reservation,0.7685000000000001,0.16143644000000237,0.16088866408372077,0.1593646000000003,0.12057192652292407,0.17589541949667037,0.7432000000000001
60,8,HBTASP-Dynamic,0.625,0.13755689718750627,0.18483403282472533,0.2581500000000005,0.1471807928557888,0.16747101283616428,0.62825
60,9,EDF-Dynamic-Reservation,0.7936444444444445,0.14381831722222435,0.1431971540943206,0.14205516444444471,0.1077096727740281,0.15075416532804073,0.7704222222222222
60,9,HBTASP-Dynamic,0.6666666666666666,0.12227279750000553,0.1654582127386224,0.2294666666666671,0.13233189312384053,0.1479560060463899,0.6615666666666666
60,10,EDF-Dynamic-Reservation,0.8138,0.12924353500000202,0.12864716897517647,0.1281800800000002,0.09580987291993685,0.13971543640889733,0.7964
60,10,HBTASP-Dynamic,0.7,0.11004630375000499,0.1498902215032436,0.2065200000000004,0.11923778969431478,0.13215701491858217,0.6938099999999999
70,4,EDF-Dynamic-Reservation,0.4986,0.3658065399999871,0.3644925367634822,0.34516376000000065,0.28675031340763374,0.40511654624597276,0.3956
70,4,HBTASP-Dynamic,0.0,0.2817238456250084,0.3825146596218286,0.6884000000000013,0.2943894776407556,0.32779175075178957,0.309425
70,5,EDF-Dynamic-Reservation,0.5986,0.29441612499998937,0.2921735396489946,0.2763237600000005,0.2287356265512514,0.31239945331584906,0.5128
70,5,HBTASP-Dynamic,0.2,0.2253802555000067,0.3100659566104882,0.5507200000000011,0.23825272231173092,0.2615511688831509,0.42576
70,6,EDF-Dynamic-Reservation,0.6650666666666667,0.24495807666665775,0.24370566773314234,0.23056810666666708,0.192222472317522,0.26173730229126135,0.5936
70,6,HBTASP-Dynamic,0.3333333333333333,0.18781737083333888,0.25950493345465475,0.4589333333333342,0.19870583289290333,0.21799355484080968,0.5204500000000001
70,7,EDF-Dynamic-Reservation,0.7144571428571428,0.21047932214284945,0.20918233391173158,0.1965677028571432,0.16531973062539942,0.22420512527401293,0.6502000000000001
70,7,HBTASP-Dynamic,0.4285714285714285,0.16098631785714762,0.22386068658735475,0.3933714285714293,0.17194429703454944,0.18583223891821748,0.5762571428571428
70,8,EDF-Dynamic-Reservation,0.7493000000000001,0.1829032699999935,0.18224626838174052,0.1725818800000003,0.1433751567038169,0.20255827312298633,0.6978
70,8,HBTASP-Dynamic,0.5,0.14086327375000418,0.19696075494110274,0.3442000000000006,0.15127249431602618,0.16098939649610766,0.6239250000000001
70,9,EDF-Dynamic-Reservation,0.7779111111111111,0.16370613944443851,0.16269737082023536,0.1528859911111114,0.12858201270864403,0.17438176410201006,0.7279333333333333
70,9,HBTASP-Dynamic,0.5555555555555556,0.12521190805555923,0.17576379313698665,0.3059555555555561,0.13639552619725884,0.14449174752067886,0.6567000000000001
70,10,EDF-Dynamic-Reservation,0.7976000000000001,0.14735526499999457,0.14619233925222885,0.1393321600000002,0.11488431356487075,0.1635354566181761,0.7556
70,10,HBTASP-Dynamic,0.6,0.1126907172500033,0.1593657202663691,0.2753600000000005,0.12148868327597473,0.127078673259781,0.68977
80,4,EDF-Dynamic-Reservation,0.3488,0.4358531399999686,0.438505626862811,0.4482860800000009,0.3267879479801788,0.4827740091102485,0.3114
80,4,HBTASP-Dynamic,0.0,0.3892249999999824,0.482494236741519,0.6884000000000013,0.3591259369845788,0.4571106484797995,0.19540000000000002
80,5,EDF-Dynamic-Reservation,0.4824,0.34824111499997495,0.3500820582945461,0.3563158400000007,0.2591683439875597,0.3702195119357806,0.44880000000000003
80,5,HBTASP-Dynamic,0.0,0.2589500000000002,0.3597127110099005,0.6884000000000013,0.27561609412026805,0.297902770108698,0.3362
80,6,EDF-Dynamic-Reservation,0.5686,0.2901133383333125,0.2916895880818144,0.2969757600000006,0.21834031079065017,0.3139583873053836,0.5414666666666668
80,6,HBTASP-Dynamic,0.1666666666666666,0.21579166666666677,0.30167879679216764,0.5736666666666678,0.2277899517508617,0.2490526814743305,0.4497999999999999
80,7,EDF-Dynamic-Reservation,0.6302285714285715,0.24880166499998216,0.25019457508371695,0.2545506514285719,0.18683631192590153,0.26859902277505615,0.6057428571428571
80,7,HBTASP-Dynamic,0.2857142857142857,0.1849642857142858,0.25997765407195383,0.4917142857142867,0.19677094926986566,0.21280972195055886,0.5192
80,8,EDF-Dynamic-Reservation,0.6744000000000001,0.2179265699999843,0.21925281343140496,0.2241430400000004,0.16339397399008937,0.24138700455512424,0.6557000000000001
80,8,HBTASP-Dynamic,0.375,0.1618437500000001,0.22838952545172506,0.4302500000000008,0.17306112453317496,0.18318945411620832,0.5729
80,9,EDF-Dynamic-Reservation,0.7123999999999999,0.19351240611109716,0.19459578062066846,0.19798384000000038,0.1453171314979234,0.20891035104726585,0.6933555555555555
80,9,HBTASP-Dynamic,0.4444444444444445,0.1438611111111112,0.20398291154232412,0.3824444444444452,0.15470849674743165,0.1629145411787522,0.6117777777777778
80,10,EDF-Dynamic-Reservation,0.7426,0.1741216249999875,0.17492342783701897,0.1771941600000003,0.13155901715191698,0.1928109270229741,0.7213999999999999
80,10,HBTASP-Dynamic,0.5,0.1294750000000001,0.18453831800855466,0.3442000000000006,0.13673920651884533,0.1419769254184638,0.6526
90,4,EDF-Dynamic-Reservation,0.30920000000000003,0.4769628499999783,0.47643054944145835,0.47554672000000087,0.36197076631941083,0.5045614113392698,0.2508
90,4,HBTASP-Dynamic,0.0,0.430707683749989,0.5088966449585615,0.6884000000000013,0.3798114258983474,0.4830214476925624,0.187875
90,5,EDF-Dynamic-Reservation,0.4438,0.38144785999998254,0.38109588068006534,0.38288808000000074,0.2860921476388095,0.389270784469996,0.402
90,5,HBTASP-Dynamic,0.0,0.28935665449999803,0.3887935280215254,0.6884000000000013,0.29987196054288673,0.33871324807322356,0.3023
90,6,EDF-Dynamic-Reservation,0.537,0.31772680499998557,0.31755088102681295,0.3187292000000006,0.24061841380597918,0.33002111445679433,0.5020666666666667
90,6,HBTASP-Dynamic,0.0,0.1969484475000021,0.2895465909852682,0.6884000000000013,0.22633714020389975,0.20869285828092873,0.4258333333333333
90,7,EDF-Dynamic-Reservation,0.6050285714285714,0.2722103064285591,0.27204220119886974,0.27189833142857195,0.20642460975928129,0.28296148418291817,0.5720571428571428
90,7,HBTASP-Dynamic,0.1428571428571428,0.1688125339285732,0.2486522458832257,0.590057142857144,0.1934840470086859,0.17714075009128413,0.5079428571428571
90,8,EDF-Dynamic-Reservation,0.6546000000000001,0.23848142499998914,0.2382151643153136,0.2377733600000004,0.18099038360075412,0.2522802219303232,0.6254
90,8,HBTASP-Dynamic,0.25,0.14771035312500153,0.21827266810833307,0.516300000000001,0.16913516927477218,0.1524265177833492,0.5686375
90,9,EDF-Dynamic-Reservation,0.6928,0.21171912722221262,0.21158865266114862,0.21147648000000036,0.16055008407993626,0.22007814626269245,0.6671555555555556
90,9,HBTASP-Dynamic,0.3333333333333333,0.13129907416666806,0.19409481449717786,0.4589333333333342,0.1504617067970117,0.13655507034859787,0.6161111111111112
