metric,hbt_minus_edf,ci95_low,ci95_high,paired_seed_t_p,n_seed_clusters,hbt_higher_cells,ties_cells,hbt_lower_cells
mandatory_dmr,-0.30562208616780046,-0.30810109157148263,-0.3031430807641183,4.986489756036276e-19,10,0,0,350
historical_coverage_adjusted_dice,-0.0541495996747076,-0.054498326004939014,-0.05380087334447619,6.252326948715765e-20,10,0,0,350
historical_weighted_coverage_utility,0.01105814621371354,0.01062405998301725,0.011492232444409828,7.184565556839293e-13,10,300,0,50
historical_mandatory_effective_dice,0.21039024411791424,0.2086836967980194,0.21209679143780907,4.986489756036312e-19,10,350,0,0
mean_complete_image_dice,0.008326874239018725,0.005751980589532534,0.010901767888504915,4.489443673045502e-05,10,234,0,116
pixel_defect_recall,-0.044777205812940514,-0.051834382637981076,-0.03772002898789995,1.65325959905297e-07,10,32,0,318
image_complete_miss_rate,-0.07759631746031746,-0.08039913535993388,-0.07479349956070104,3.4031235067976054e-13,10,0,0,350
