period_ms,configuration,mandatory_dmr,historical_coverage_adjusted_dice,historical_weighted_coverage_utility,historical_mandatory_effective_dice,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate
50,EDF-Dynamic-Reservation,0.821183446712018,0.14403720378685297,0.1423984368737926,0.12309731528344692,0.12088294797578443,0.150585255581838,0.7477671201814059
50,HBTASP-Dynamic,0.5304421768707482,0.10417551115178696,0.1507536025420616,0.3232436054421775,0.11574366404925729,0.1109511714663741,0.7099631575963719
60,EDF-Dynamic-Reservation,0.7092804988662132,0.20232676579365383,0.20154737125938058,0.20013130458049921,0.15068608323635355,0.21526139453090373,0.6789596371882086
60,HBTASP-Dynamic,0.5304421768707482,0.17224134673597724,0.22765922232306182,0.3232436054421775,0.18081520415816524,0.21027452156605855,0.5610410204081633
70,EDF-Dynamic-Reservation,0.6859335600907029,0.22994639117913007,0.22867000807307936,0.21620333723356047,0.17998137512559118,0.2491334172814669,0.6190761904761904
70,HBTASP-Dynamic,0.3739229024943311,0.17638195555300976,0.24400521494554067,0.4309914739229033,0.18749271909559986,0.20367550438150503,0.5431838775510204
80,EDF-Dynamic-Reservation,0.594204081632653,0.27265283706347243,0.2741776957445687,0.2793499102040822,0.2044861481891743,0.29695131625026183,0.5682664399092971
80,HBTASP-Dynamic,0.25311791383219956,0.2120158304988638,0.2886820219454493,0.5141536281179149,0.21768739427500372,0.24356524896097304,0.47683968253968256
90,EDF-Dynamic-Reservation,0.5663183673469387,0.29845711837867117,0.29813944267341425,0.2985464359183679,0.2258836911462486,0.3115137489001414,0.531297052154195
90,HBTASP-Dynamic,0.1608843537414966,0.21185767388860474,0.2891236239366898,0.5776472108843548,0.22181563529021955,0.23109265710499863,0.46635711451247164
