configuration,total_regions,completed,expired_waiting,admission_infeasible,deadline_misses,thermal_violations,period_ms,lines,epochs,seed,scheduler,total_mandatory,missed_mandatory,mandatory_dmr,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,runtime_seconds,release_mode,wcet_scale,mandatory_infeasible,optional_skipped,dispatch_infeasible,budget_mode,network_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count
EDF-Dynamic-Reservation,16000,5760,0,10240,0,0,50,4,1000,101,edf_dynamic_reservation,4000,2888,0.722,0.6347352777777991,0.2285047000000077,0.19137520000000038,5760,0.22304306449964462,4000,4000,0.19526289946022352,1880,0.4588187410943072,0.21990115273996128,0.7800988472600388,0.598,0.2635558416340837,0.3453245162963867,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,16000,5744,0,10256,0,0,50,4,1000,202,edf_dynamic_reservation,4000,2832,0.708,0.6354142061281568,0.2281137000000083,0.2010128000000004,5744,0.22751576441686358,4000,4000,0.19467476193991434,1888,0.44921239798876283,0.24555106139926383,0.7544489386007361,0.592,0.2545376360488485,0.34472060203552246,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,16000,5808,0,10192,0,0,50,4,1000,303,edf_dynamic_reservation,4000,2904,0.726,0.6351078512396892,0.23054415000000716,0.18862160000000036,5808,0.22828464048430516,4000,4000,0.19007931093845573,1896,0.432898384401847,0.2555562946446565,0.7444437053553434,0.594,0.2428190734633913,0.38610196113586426,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,16000,5816,0,10184,0,0,50,4,1000,404,edf_dynamic_reservation,4000,2864,0.716,0.6355055020632955,0.2310062500000079,0.1955056000000004,5816,0.22945999911469536,4000,4000,0.1942183390942436,1872,0.4536708988647196,0.2586924502707745,0.7413075497292255,0.588,0.259452559770476,0.3869173526763916,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,16000,5744,0,10256,0,0,50,4,1000,505,edf_dynamic_reservation,4000,2864,0.716,0.6357855153203553,0.22824700000000755,0.1955056000000004,5744,0.2259990918806558,4000,4000,0.19893306922817539,1864,0.4735019310313964,0.22942773649731607,0.7705722635026839,0.582,0.274568861803221,0.3515596389770508,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,16000,5704,0,10296,0,0,50,4,1000,606,edf_dynamic_reservation,4000,2896,0.724,0.6369412342216185,0.227069550000007,0.18999840000000037,5704,0.22310718469970173,4000,4000,0.19214582049432533,1856,0.4600051580797519,0.2623457484641303,0.7376542515358697,0.604,0.26785933758542657,0.36069583892822266,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,16000,5888,0,10112,0,0,50,4,1000,707,edf_dynamic_reservation,4000,2872,0.718,0.6341456521739353,0.23336560000000817,0.19412880000000038,5888,0.23076147242780845,4000,4000,0.19923899299777464,1880,0.4618848331951227,0.2322974079156113,0.7677025920843887,0.594,0.26264584019734805,0.39887070655822754,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,16000,5752,0,10248,0,0,50,4,1000,808,edf_dynamic_reservation,4000,2880,0.72,0.6360012517385462,0.22864245000000732,0.19275200000000037,5752,0.22676301074478747,4000,4000,0.18876094373002583,1880,0.4410296336585112,0.2236192380002359,0.7763807619997641,0.6,0.2522686899284854,0.3867614269256592,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,16000,5848,0,10152,0,0,50,4,1000,909,edf_dynamic_reservation,4000,2920,0.73,0.6339852257182159,0.23172160000000794,0.18586800000000037,5848,0.22863339036720437,4000,4000,0.18166351077717177,1816,0.43363881572526203,0.2364106448283147,0.7635893551716852,0.616,0.2519753049480903,0.3637230396270752,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,16000,5872,0,10128,0,0,50,4,1000,1010,edf_dynamic_reservation,4000,2840,0.71,0.6333553133515214,0.23244140000000837,0.1996360000000004,5872,0.22875482494952834,4000,4000,0.20069040930267554,1872,0.4648864521065569,0.2576523952957336,0.7423476047042664,0.598,0.2641960428038813,0.4053182601928711,periodic,1.0,,,,,,,,,,,,
