mode,regions,defective_regions,roc_auc,pr_auc,prevalence,spearman_area,spearman_p,lowest_quartile_regions,lowest_quartile_defect_rate,lowest_quartile_defective_regions,top1_defective_region_hit_rate,multi_defect_region_image_rate
bright+20,5336,2702,0.34117567796176745,0.3945572265885684,0.5063718140929535,-0.32240891720607967,2.5269773838362042e-129,1334,0.6229385307346327,831,0.3343328335832084,0.6266866566716641
bright-20,5336,2702,0.38497447263395546,0.41228151342197317,0.5063718140929535,-0.20044796329103778,1.719464854656634e-49,1334,0.5712143928035982,762,0.33883058470764615,0.6266866566716641
contrast+20%,5336,2702,0.372113558560913,0.4074196149005735,0.5063718140929535,-0.23299458542965543,1.0483156449683914e-66,1334,0.5952023988005997,794,0.3530734632683658,0.6266866566716641
contrast-20%,5336,2702,0.3467722241799573,0.3969903441827817,0.5063718140929535,-0.311286965604363,3.108232464370098e-120,1334,0.6214392803598201,829,0.3350824587706147,0.6266866566716641
original,5336,2702,0.35177751568482973,0.4052618951842335,0.5063718140929535,-0.2657381327165793,6.144822078706017e-87,1334,0.6221889055472264,830,0.3568215892053973,0.6266866566716641
