scenario,period_ms,lines,epochs,seed,overrun_probability,overrun_min_extra,overrun_max_extra,total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,budget_mode,network_mode,overrun_count,overrun_rate_observed,iit_celsius_seconds,peak_temperature_c,mandatory_total,mandatory_missed,mandatory_dmr
rare_hidden_overrun,200,4,1000,303,0.005,0.1,0.7,16000,0,92,0,0,15908,14,22,assigned_level_sensitivity,dynamic,86,0.005406084988684938,0.0031464588349849154,60.07273462588326,4000,0,0.0
rare_hidden_overrun,200,4,1000,404,0.005,0.1,0.7,16000,0,105,0,0,15895,9,24,assigned_level_sensitivity,dynamic,85,0.0053475935828877,0.0053807073676921825,60.1151515089754,4000,0,0.0
rare_hidden_overrun,200,4,1000,505,0.005,0.1,0.7,16000,0,66,2,0,15932,14,15,assigned_level_sensitivity,dynamic,81,0.005084107456690937,0.003743482531696445,60.10188199323005,4000,2,0.0005
rare_hidden_overrun,200,4,1000,606,0.005,0.1,0.7,16000,0,118,1,0,15881,14,12,assigned_level_sensitivity,dynamic,75,0.004722624519866507,0.001038707590413445,60.059551347820545,4000,1,0.00025
rare_hidden_overrun,200,4,1000,707,0.005,0.1,0.7,16000,0,105,0,0,15895,7,15,assigned_level_sensitivity,dynamic,75,0.004718464926077383,0.0024678851552172006,60.08274192712895,4000,0,0.0
rare_hidden_overrun,200,4,1000,808,0.005,0.1,0.7,16000,0,73,0,0,15927,4,15,assigned_level_sensitivity,dynamic,81,0.005085703522320587,0.0008900233056020919,60.051127012858835,4000,0,0.0
rare_hidden_overrun,200,4,1000,909,0.005,0.1,0.7,16000,0,73,2,0,15925,8,19,assigned_level_sensitivity,dynamic,70,0.004395604395604396,0.006929185477081841,60.18016754819008,4000,2,0.0005
rare_hidden_overrun,200,4,1000,1010,0.005,0.1,0.7,16000,0,88,1,0,15911,7,14,assigned_level_sensitivity,dynamic,62,0.0038966752561121237,0.007496570024985295,60.17229251727311,4000,1,0.00025
rare_hidden_overrun,250,4,1000,101,0.005,0.1,0.7,16000,0,56,0,0,15944,0,3,assigned_level_sensitivity,dynamic,84,0.0052684395383843455,3.316294796381776e-05,60.020853883674405,4000,0,0.0
rare_hidden_overrun,250,4,1000,202,0.005,0.1,0.7,16000,0,0,0,0,16000,0,5,assigned_level_sensitivity,dynamic,71,0.0044375,0.005867033005772575,60.18831933585322,4000,0,0.0
rare_hidden_overrun,250,4,1000,303,0.005,0.1,0.7,16000,0,16,0,0,15984,1,9,assigned_level_sensitivity,dynamic,86,0.0053803803803803806,0.004963058484995368,60.099958807912415,4000,0,0.0
rare_hidden_overrun,250,4,1000,404,0.005,0.1,0.7,16000,0,24,0,0,15976,1,1,assigned_level_sensitivity,dynamic,85,0.005320480721081622,0.000256802366003645,60.047198896333896,4000,0,0.0
rare_hidden_overrun,250,4,1000,505,0.005,0.1,0.7,16000,0,0,0,0,16000,0,6,assigned_level_sensitivity,dynamic,81,0.0050625,0.003078240891375129,60.11433320379905,4000,0,0.0
rare_hidden_overrun,250,4,1000,606,0.005,0.1,0.7,16000,0,24,0,0,15976,0,6,assigned_level_sensitivity,dynamic,75,0.004694541812719079,0.001638940355582054,60.10736121453728,4000,0,0.0
rare_hidden_overrun,250,4,1000,707,0.005,0.1,0.7,16000,0,32,1,0,15967,0,5,assigned_level_sensitivity,dynamic,75,0.004697187950147178,0.0033545955552050912,60.15746674897874,4000,1,0.00025
rare_hidden_overrun,250,4,1000,808,0.005,0.1,0.7,16000,0,16,0,0,15984,1,5,assigned_level_sensitivity,dynamic,81,0.005067567567567568,0.0009932072641510535,60.05460428238127,4000,0,0.0
