time_s,gpu,temperature_c,voltage_v
0.0,0,25.0,0.6
0.001,0,25.00252827654496,0.6
0.002,0,25.005055274611,0.6
0.003,0,25.007580994844606,0.6
0.004,0,25.010105437891948,0.6
0.005,0,25.01262860439886,0.6
0.006,0,25.015150495010854,0.6
0.007,0,25.017671110373115,0.6
0.008,0,25.0201904511305,0.6
0.009000000000000001,0,25.02270851792754,0.6
0.01,0,25.025225311408445,0.6
0.011,0,25.02774083221709,0.6
0.012,0,25.030255080997037,0.6
0.013000000000000001,0,25.03276805839151,0.6
0.014,0,25.035279765043416,0.6
0.015,0,25.03779020159533,0.6
0.016,0,25.040299368689514,0.6
0.017,0,25.042807266967888,0.6
0.018000000000000002,0,25.061866264548932,0.88
0.019,0,25.08821894730903,0.88
0.02,0,25.11455830425257,0.88
0.021,0,25.140884342118042,0.88
0.022,0,25.167197067640544,0.88
0.023,0,25.193496487551748,0.88
0.024,0,25.219782608579926,0.88
0.025,0,25.246055437449968,0.88
0.026000000000000002,0,25.27231498088333,0.88
0.027,0,25.298561245598094,0.88
0.028,0,25.32479423830894,0.88
0.029,0,25.351013965727148,0.88
0.03,0,25.377220434560613,0.88
0.031,0,25.403413651513816,0.88
0.032,0,25.42959362328787,0.88
0.033,0,25.455760356580505,0.88
0.034,0,25.48191385808603,0.88
0.035,0,25.508054134495417,0.88
0.036000000000000004,0,25.534181192496206,0.88
0.037,0,25.56029503877258,0.88
0.038,0,25.586395680005353,0.88
0.039,0,25.612483122871936,0.88
0.04,0,25.63855737404638,0.88
0.041,0,25.664618440199348,0.88
0.042,0,25.690666327998137,0.88
0.043000000000000003,0,25.716701044106685,0.88
0.044,0,25.742722595185548,0.88
0.045,0,25.7687309878919,0.88
0.046,0,25.79472622887957,0.88
0.047,0,25.82070832479902,0.88
0.048,0,25.846677282297343,0.88
0.049,0,25.87263310801827,0.88
0.05,0,25.898575808602175,0.88
0.051000000000000004,0,25.924505390686065,0.88
0.052000000000000005,0,25.950421860903617,0.88
0.053,0,25.97632522588512,0.88
0.054,0,25.998675838843532,0.6
0.055,0,26.000699112875107,0.6
0.056,0,26.002721363793444,0.6
0.057,0,26.004742592115903,0.6
0.058,0,26.00676279835958,0.6
0.059000000000000004,0,26.00878198304132,0.6
0.06,0,26.01080014667769,0.6
0.061,0,26.012817289785,0.6
0.062,0,26.014833412879312,0.6
0.063,0,26.01684851647642,0.6
0.064,0,26.018862601091847,0.6
0.065,0,26.02087566724087,0.6
0.066,0,26.022887715438493,0.6
0.067,0,26.02489874619947,0.6
0.068,0,26.02690876003829,0.6
0.069,0,26.02891775746918,0.6
0.07,0,26.030925739006115,0.6
0.07100000000000001,0,26.032932705162796,0.6
0.07200000000000001,0,26.034938656452677,0.6
0.073,0,26.036943593388948,0.6
0.074,0,26.038947516484537,0.6
0.075,0,26.04095042625212,0.6
0.076,0,26.0429523232041,0.6
0.077,0,26.04495320785264,0.6
0.078,0,26.046953080709628,0.6
0.079,0,26.048951942286696,0.6
0.08,0,26.050949793095224,0.6
0.081,0,26.052946633646332,0.6
0.082,0,26.05494246445087,0.6
0.083,0,26.056937286019448,0.6
0.084,0,26.058931098862406,0.6
0.085,0,26.060923903489826,0.6
0.08600000000000001,0,26.062915700411533,0.6
0.08700000000000001,0,26.0649064901371,0.6
0.088,0,26.06689627317584,0.6
0.089,0,26.068885050036798,0.6
0.09,0,26.07087282122878,0.6
0.091,0,26.072859587260314,0.6
0.092,0,26.07484534863969,0.6
0.093,0,26.07683010587493,0.6
0.094,0,26.095077094528783,0.88
0.095,0,26.120907311393843,0.88
0.096,0,26.146724466638766,0.88
0.097,0,26.172528566868465,0.88
0.098,0,26.198319618684486,0.88
0.099,0,26.22409762868505,0.88
0.1,0,26.249862603465047,0.88
0.101,0,26.275614549616016,0.88
0.10200000000000001,0,26.301353473726174,0.88
0.10300000000000001,0,26.327079382380397,0.88
0.10400000000000001,0,26.35279228216025,0.88
0.105,0,26.37849217964395,0.88
0.106,0,26.404179081406397,0.88
0.107,0,26.42985299401917,0.88
0.108,0,26.455513924050514,0.88
0.109,0,26.481161878065357,0.88
0.11,0,26.506796862625308,0.88
0.111,0,26.532418884288667,0.88
0.112,0,26.5580279496104,0.88
0.113,0,26.583624065142175,0.88
0.114,0,26.609207237432337,0.88
0.115,0,26.634777473025913,0.88
0.116,0,26.660334778464645,0.88
0.117,0,26.685879160286945,0.88
0.11800000000000001,0,26.711410625027916,0.88
0.11900000000000001,0,26.73692917921938,0.88
0.12,0,26.76243482938984,0.88
0.121,0,26.78792758206449,0.88
0.122,0,26.813407443765236,0.88
0.123,0,26.838874421010694,0.88
0.124,0,26.864328520316164,0.88
0.125,0,26.889769748193665,0.88
0.126,0,26.915198111151916,0.88
