scenario,period_ms,overrun_count_mean,overrun_count_std,overrun_rate_observed_mean,overrun_rate_observed_std,thermal_violations_mean,thermal_violations_std,iit_celsius_seconds_mean,iit_celsius_seconds_std,peak_temperature_c_mean,peak_temperature_c_std,deadline_misses_mean,deadline_misses_std,mandatory_dmr_mean,mandatory_dmr_std
nominal,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.9999799589384,1.8178367975458448e-05,0.0,0.0,0.0,0.0
nominal,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99995385504734,2.73422579284576e-05,0.0,0.0,0.0,0.0
nominal,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.999979591259226,1.9941508887733288e-05,0.0,0.0,0.0,0.0
nominal,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99973247620932,0.00020717147454802536,0.0,0.0,0.0,0.0
nominal,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99966851874054,0.0004030760411680938,0.0,0.0,0.0,0.0
rare_hidden_overrun,100,67.2,7.842901957254797,0.00483901867521779,0.0005727277247398043,5.2,3.2930904093942583,0.00017266073712096698,0.00014339351284856251,60.032276358963415,0.018801767235853667,47.6,6.518350166176169,0.002875,0.0011133657679906154
rare_hidden_overrun,150,74.6,7.35149266778145,0.00485038938248938,0.0004771618800619015,16.6,4.6951511631090685,0.00407520192525386,0.0019611501768456536,60.11540358067202,0.03908233146085645,9.2,2.043961295567452,0.001325,0.0008169217288768313
rare_hidden_overrun,200,77.0,7.774602526460408,0.004839462386838,0.0004890601488491782,16.1,4.483302354291979,0.0037139925338040697,0.002265348151641833,60.1048112584874,0.043874333705891715,9.6,3.5023801430836525,0.00015000000000000001,0.00021081851067789194
rare_hidden_overrun,250,77.0,7.774602526460408,0.00481844192021275,0.0004879534793119663,4.9,2.183269719175042,0.002420402195389302,0.0019183257356965616,60.10448537878905,0.05144311086015467,0.4,0.5163977794943222,2.5e-05,7.905694150420948e-05
rare_hidden_overrun,300,77.0,7.774602526460408,0.0048125,0.00048591265790377504,2.7,1.9465068427541912,0.00117901133443361,0.0011256653609050293,60.077792988510986,0.04652560940293477,0.0,0.0,0.0,0.0
