period_ms,image_service_failure,image_miss,dice,recall,admitted_dmr,peak
100,0.8395833333333333,0.74855,0.12481449872479258,0.14838166035020234,0.0,59.99999399085331
150,0.6791666666666667,0.5971583333333333,0.20444801849075106,0.2525695438883334,0.0,59.99999919982975
200,0.51875,0.4484916666666667,0.2829555185509731,0.35378493950995316,0.0,59.999999073706384
250,0.3583333333333334,0.338725,0.34532024597327193,0.43504317063399534,0.0,59.99999902147296
300,0.26041666666666663,0.27701666666666663,0.37591443339249986,0.474991839110029,0.0,59.99999789906239
