,,pre_execution_rejection_ratio,pre_execution_rejection_ratio,admitted_deadline_violation_ratio,admitted_deadline_violation_ratio,full_image_on_time_acceptance,full_image_on_time_acceptance,mean_complete_image_dice,mean_complete_image_dice,pixel_defect_recall,pixel_defect_recall,image_complete_miss_rate,image_complete_miss_rate,peak_modeled_temperature,peak_modeled_temperature
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
period_ms,lines,,,,,,,,,,,,,,
50,4,0.8125,0.0,0.0,0.0,0.0,0.0,0.10655937114080496,0.004306331266514316,0.12053404655156821,0.015842256531925576,0.7954000000000001,0.00730600970282534,59.99982722303896,0.0002759427305625257
50,5,0.85,0.0,0.0,0.0,0.0,0.0,0.08536406951947534,0.003930143323554068,0.10488735169346053,0.01653338037402085,0.8331999999999999,0.00444222166638873,59.999937994231914,6.0541915070212524e-05
50,6,0.875,0.0,0.0,0.0,0.0,0.0,0.07060373613841076,0.0016790090922206712,0.08645968160426182,0.005756734827625344,0.8625999999999999,0.002836272984824329,59.99961122195134,0.00041476395225365496
50,7,0.8928571428571429,0.0,0.0,0.0,0.0,0.0,0.060587561194114105,0.0,0.0742470031300914,0.0,0.8828571428571429,0.0,59.9999225624794,4.026784582679776e-05
50,8,0.90625,0.0,0.0,0.0,0.0,0.0,0.053279685570402434,0.0021531656332571605,0.06026702327578409,0.007921128265962788,0.8977,0.0036530048514126596,59.999751921546306,0.0003816531634379138
50,9,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.04712365870653319,3.3518041921118955e-17,0.05774766910118221,0.0,0.9088888888888886,0.0,59.999922772590935,6.193034774565958e-05
50,10,0.925,0.0,0.0,0.0,0.0,0.0,0.0444237060572614,0.0024843755012327723,0.05294547475937907,0.01042431809487761,0.9138,0.003047767853510009,59.99987729068316,0.00010783539887371613
60,4,0.8125,0.0,0.0,0.0,0.0,0.0,0.10655937114080496,0.004306331266514316,0.12053404655156821,0.015842256531925576,0.7954000000000001,0.00730600970282534,58.762196501774,0.0
60,5,0.85,0.0,0.0,0.0,0.0,0.0,0.08536406951947534,0.003930143323554068,0.10488735169346053,0.01653338037402085,0.8331999999999999,0.00444222166638873,58.762196501774,0.0
60,6,0.875,0.0,0.0,0.0,0.0,0.0,0.07060373613841076,0.0016790090922206712,0.08645968160426182,0.005756734827625344,0.8625999999999999,0.002836272984824329,58.762196501774,0.0
60,7,0.8928571428571429,0.0,0.0,0.0,0.0,0.0,0.060587561194114105,0.0,0.0742470031300914,0.0,0.8828571428571429,0.0,58.762196501774,0.0
60,8,0.90625,0.0,0.0,0.0,0.0,0.0,0.053279685570402434,0.0021531656332571605,0.06026702327578409,0.007921128265962788,0.8977,0.0036530048514126596,58.762196501774,0.0
60,9,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.04712365870653319,3.3518041921118955e-17,0.05774766910118221,0.0,0.9088888888888886,0.0,58.762196501774,0.0
60,10,0.925,0.0,0.0,0.0,0.0,0.0,0.0444237060572614,0.0024843755012327723,0.05294547475937907,0.01042431809487761,0.9138,0.003047767853510009,58.762196501774,0.0
70,4,0.75,0.0,0.0,0.0,0.25,0.0,0.12280983562744138,0.0032561372854932264,0.14487393763840914,0.017263838273637745,0.7664,0.004299870799092556,59.99973715480089,0.00015952424958378067
70,5,0.8,0.0,0.0,0.0,0.2,0.0,0.09963715922859515,0.005317186371339841,0.1291656950667286,0.02257533895513674,0.8140000000000001,0.0035276684147527264,59.99981650329896,0.00023458926005869455
70,6,0.8333333333333334,0.0,0.0,0.0,0.1666666666666666,0.0,0.08191819661040708,0.0010766352003484813,0.1043125107205698,0.005314319457944937,0.8438000000000001,0.0011779874027287298,59.999911052506285,6.163575398767976e-05
70,7,0.8571428571428571,0.0,0.0,0.0,0.1428571428571428,0.0,0.07069792865693669,3.9793748236606135e-17,0.0902497383642245,0.0,0.8665714285714285,0.0,59.99991416144992,6.757278841194128e-05
70,8,0.875,0.0,0.0,0.0,0.125,0.0,0.06140491781372065,0.001628068642746595,0.07243696881920456,0.008631919136818877,0.8832000000000001,0.0021499353995462845,59.99977821554315,0.00023499664000542364
70,9,0.888888888888889,0.0,0.0,0.0,0.11111111111111112,0.0,0.05498727784428409,3.2628381431110786e-17,0.0701942409499524,0.0,0.8962222222222224,0.0,59.99993131292213,6.71599427298236e-05
70,10,0.9,0.0,0.0,0.0,0.1,0.0,0.05041470599836081,0.0032112767659965486,0.0639802041715782,0.0130759061851005,0.9052,0.00252982212813469,59.99994281645873,6.20543363561533e-05
80,4,0.6875,0.0,0.0,0.0,0.25,0.0,0.1499658726894307,0.005419801776831825,0.1741151434328787,0.0156892936729371,0.6848,0.01155470082308972,59.999846650806056,4.251328988988377e-05
80,5,0.75,0.0,0.0,0.0,0.2,0.0,0.12553896959865765,0.006092967139841448,0.15798943641104043,0.02518067854722372,0.7398,0.008508818954473054,59.99982893218735,9.2148723792837e-06
80,6,0.7916666666666666,0.0,0.0,0.0,0.1666666666666666,0.0,0.10074365996163967,0.0013529023430629836,0.12461906894390731,0.004523198571766518,0.7871333333333334,0.003597667282635137,59.99984338096753,5.49059272032748e-05
80,7,0.8214285714285714,0.0,0.0,0.0,0.1428571428571428,0.0,0.08687594854058357,1.0619505537202512e-16,0.1081063233719862,0.0,0.818,0.0,59.999856606344096,5.394272523619091e-05
80,8,0.84375,0.0,0.0,0.0,0.125,0.0,0.07498293634471534,0.0027099008884158772,0.08705757171643932,0.00784464683646855,0.8423999999999999,0.005777350411544892,59.99983458160095,1.9815934531365483e-05
80,9,0.861111111111111,0.0,0.0,0.0,0.11111111111111112,0.0,0.06757018219823169,7.343435057440258e-17,0.0840826959559892,0.0,0.8584444444444446,0.0,59.99984384858326,3.8667131720114675e-05
