total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,period_ms,lines,epochs,seed,budget_mode,network_mode,release_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count,pre_execution_rejections,pre_execution_rejection_ratio,admitted_deadline_violations,admitted_deadline_violation_ratio,fully_accepted_images,full_image_on_time_acceptance,peak_modeled_temperature,mean_voltage,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,runtime_seconds,hardware_input_gpu0,hardware_input_gpu1,simulation_host
20000,17000,0,0,0,3000,0,0,50,5,1000,101,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,17000,0.85,0,0.0,0,0.0,59.99999177455192,0.8475866666666837,0.6884000000000013,0.1032600000000002,0.1032600000000002,3000,0.10832986716992372,5000,5000,0.08732710503239695,910,0.537793607631781,0.10100814775671484,0.8989918522432851,0.83,0.45046650259938403,0.3022749423980713,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
20000,17000,0,0,0,3000,0,0,50,5,1000,202,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,17000,0.85,0,0.0,0,0.0,59.99995518466772,0.8474366666666836,0.6884000000000013,0.1032600000000002,0.1032600000000002,3000,0.1046716952334804,5000,5000,0.08635889309786512,950,0.4960132131867107,0.12752394463228023,0.8724760553677198,0.834,0.4096543200888456,0.30989885330200195,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
20000,17000,0,0,0,3000,0,0,50,5,1000,303,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,17000,0.85,0,0.0,0,0.0,59.999891225618775,0.8474966666666836,0.6884000000000013,0.1032600000000002,0.1032600000000002,3000,0.10324801968820504,5000,5000,0.08318452765954469,960,0.47455319327560624,0.09846768695581645,0.9015323130441836,0.832,0.39136866561606154,0.30754661560058594,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
20000,17000,0,0,0,3000,0,0,50,5,1000,404,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,17000,0.85,0,0.0,0,0.0,59.999858458315494,0.847270000000017,0.6884000000000013,0.1032600000000002,0.1032600000000002,3000,0.10329253670783943,5000,5000,0.07933444469828688,920,0.4569329398384727,0.09354527111697766,0.9064547288830224,0.838,0.37759849514018584,0.3274674415588379,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
20000,17000,0,0,0,3000,0,0,50,5,1000,505,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,17000,0.85,0,0.0,0,0.0,59.99997421724455,0.8475066666666836,0.6884000000000013,0.1032600000000002,0.1032600000000002,3000,0.10405829901373978,5000,5000,0.07904144607252604,960,0.45104971937928096,0.08215989200836693,0.9178401079916331,0.834,0.3720082733067549,0.29611921310424805,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
20000,17000,0,0,0,3000,0,0,50,5,1000,606,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,17000,0.85,0,0.0,0,0.0,59.999816975693875,0.8475600000000171,0.6884000000000013,0.1032600000000002,0.1032600000000002,3000,0.10571912836037076,5000,5000,0.09086868214563933,970,0.5212862979924116,0.1254089683599253,0.8745910316400747,0.824,0.43041761584677224,0.29088258743286133,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
20000,17000,0,0,0,3000,0,0,50,5,1000,707,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,17000,0.85,0,0.0,0,0.0,59.9999881193624,0.8476566666666836,0.6884000000000013,0.1032600000000002,0.1032600000000002,3000,0.1060150676869227,5000,5000,0.08629933841458143,940,0.5161164059036514,0.12436536905425143,0.8756346309457486,0.832,0.42981706748906995,0.29735445976257324,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
20000,17000,0,0,0,3000,0,0,50,5,1000,808,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,17000,0.85,0,0.0,0,0.0,59.99996664647733,0.8473933333333502,0.6884000000000013,0.1032600000000002,0.1032600000000002,3000,0.10507179788383748,5000,5000,0.0857939965099237,910,0.5211635900093153,0.11233187199757073,0.8876681280024292,0.84,0.43536959349939164,0.291534423828125,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
20000,17000,0,0,0,3000,0,0,50,5,1000,909,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,17000,0.85,0,0.0,0,0.0,59.99997621041686,0.8475333333333502,0.6884000000000013,0.1032600000000002,0.1032600000000002,3000,0.10608831514619754,5000,5000,0.08540701824598673,960,0.4817073404613463,0.09749950770896033,0.9025004922910397,0.836,0.39630032221535955,0.30185627937316895,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
20000,17000,0,0,0,3000,0,0,50,5,1000,1010,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,17000,0.85,0,0.0,0,0.0,59.99996112997023,0.8475133333333501,0.6884000000000013,0.1032600000000002,0.1032600000000002,3000,0.10630389424121026,5000,5000,0.09002524331800298,970,0.501640128864626,0.08656285734374179,0.9134371426562582,0.832,0.41161488554662296,0.2910497188568115,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
