partition,roi_dice,pixel_recall,any_overlap_recall,iou10_recall,image_complete_miss_rate
non_overlap_4x400,0.8027101919951881,0.8082006485809854,0.9266770670826833,0.8658346333853354,0.06196581196581197
mild_overlap_4x416,0.8014883527329494,0.8059308452371249,0.9297971918876755,0.8705148205928237,0.05982905982905983
heavy_overlap_5x400,0.8079548396877919,0.814673076017097,0.9500780031201248,0.8985959438377535,0.0405982905982906
