image_id,any_boundary_hit,complete_miss,partition
55d87ed7a.jpg,1,0,non_overlap_4x400
5c876d114.jpg,1,0,non_overlap_4x400
9b2801e98.jpg,1,0,non_overlap_4x400
d806c4bd6.jpg,1,0,non_overlap_4x400
60fb3a793.jpg,1,0,non_overlap_4x400
cc69501eb.jpg,1,0,non_overlap_4x400
683ad3cc1.jpg,0,1,non_overlap_4x400
9c33cdef5.jpg,1,0,non_overlap_4x400
171c64a72.jpg,1,0,non_overlap_4x400
711d59ca6.jpg,1,0,non_overlap_4x400
6dfd81e89.jpg,1,0,non_overlap_4x400
ae9976755.jpg,1,0,non_overlap_4x400
5feafe9c5.jpg,1,0,non_overlap_4x400
c3429572b.jpg,1,0,non_overlap_4x400
6343860bc.jpg,1,0,non_overlap_4x400
a5f996baa.jpg,1,0,non_overlap_4x400
7cb5bd6f1.jpg,1,0,non_overlap_4x400
9c4c38dab.jpg,1,0,non_overlap_4x400
bdd1c7fa8.jpg,1,0,non_overlap_4x400
a369c5c1f.jpg,1,0,non_overlap_4x400
1f7e9363d.jpg,1,0,non_overlap_4x400
86756300d.jpg,1,0,non_overlap_4x400
1d7f89efa.jpg,1,0,non_overlap_4x400
594303084.jpg,1,0,non_overlap_4x400
0f4a022fd.jpg,1,0,non_overlap_4x400
45b099b06.jpg,1,0,non_overlap_4x400
79d28bbe8.jpg,1,0,non_overlap_4x400
c0ceecd96.jpg,1,0,non_overlap_4x400
55c30f544.jpg,1,0,non_overlap_4x400
193884988.jpg,1,0,non_overlap_4x400
31a43a534.jpg,1,0,non_overlap_4x400
8fb4575f3.jpg,1,0,non_overlap_4x400
1d66a6fb4.jpg,1,0,non_overlap_4x400
476efaa3d.jpg,1,0,non_overlap_4x400
45b362a50.jpg,1,0,non_overlap_4x400
63cf275e8.jpg,1,0,non_overlap_4x400
edfc18176.jpg,1,0,non_overlap_4x400
9ad1ad629.jpg,1,0,non_overlap_4x400
98f108423.jpg,1,0,non_overlap_4x400
529b36067.jpg,1,0,non_overlap_4x400
8266cca81.jpg,1,0,non_overlap_4x400
29ff8d6f4.jpg,1,0,non_overlap_4x400
9efbf2ac6.jpg,1,0,non_overlap_4x400
bca9c5489.jpg,1,0,non_overlap_4x400
b0f9fff35.jpg,1,0,non_overlap_4x400
09f1605ee.jpg,1,0,non_overlap_4x400
208825e67.jpg,1,0,non_overlap_4x400
b68b9258c.jpg,1,0,non_overlap_4x400
0ca915b9f.jpg,1,0,non_overlap_4x400
1639cc829.jpg,1,0,non_overlap_4x400
1e742caeb.jpg,1,0,non_overlap_4x400
39960c9e9.jpg,1,0,non_overlap_4x400
892321605.jpg,1,0,non_overlap_4x400
1dba99dc5.jpg,1,0,non_overlap_4x400
f22da130b.jpg,1,0,non_overlap_4x400
dff1d028a.jpg,1,0,non_overlap_4x400
5c044192f.jpg,1,0,non_overlap_4x400
8c9286f4e.jpg,1,0,non_overlap_4x400
f1becb8a5.jpg,1,0,non_overlap_4x400
db17c18f9.jpg,1,0,non_overlap_4x400
e0593f542.jpg,1,0,non_overlap_4x400
f46e63337.jpg,1,0,non_overlap_4x400
5e581254c.jpg,0,1,non_overlap_4x400
3b9a3ae3b.jpg,1,0,non_overlap_4x400
e32bba07f.jpg,1,0,non_overlap_4x400
700209a95.jpg,1,0,non_overlap_4x400
2f6b7235e.jpg,1,0,non_overlap_4x400
cfe40128c.jpg,1,0,non_overlap_4x400
01e020dc5.jpg,1,0,non_overlap_4x400
b001f0e9b.jpg,1,0,non_overlap_4x400
3704cdfd6.jpg,0,1,non_overlap_4x400
47aea9052.jpg,1,0,non_overlap_4x400
32efbaf94.jpg,1,0,non_overlap_4x400
514222386.jpg,1,0,non_overlap_4x400
90246e919.jpg,1,0,non_overlap_4x400
22bd428e0.jpg,1,0,non_overlap_4x400
9ebb54e56.jpg,1,0,non_overlap_4x400
cd7d4933e.jpg,1,0,non_overlap_4x400
f97db2626.jpg,1,0,non_overlap_4x400
5e570da14.jpg,1,0,non_overlap_4x400
d9ce68f4f.jpg,1,0,non_overlap_4x400
da505edce.jpg,1,0,non_overlap_4x400
5af757935.jpg,1,0,non_overlap_4x400
9cfa7be25.jpg,1,0,non_overlap_4x400
b38f593fd.jpg,1,0,non_overlap_4x400
8e8404fe0.jpg,1,0,non_overlap_4x400
b3cea5fb4.jpg,1,0,non_overlap_4x400
fe6f8e502.jpg,1,0,non_overlap_4x400
eb18f69ed.jpg,1,0,non_overlap_4x400
8016e642c.jpg,1,0,non_overlap_4x400
61457b567.jpg,0,1,non_overlap_4x400
c828ece4b.jpg,1,0,non_overlap_4x400
0498abd18.jpg,1,0,non_overlap_4x400
910ad3edf.jpg,1,0,non_overlap_4x400
f22ad3b42.jpg,1,0,non_overlap_4x400
09ee01161.jpg,1,0,non_overlap_4x400
c63388081.jpg,1,0,non_overlap_4x400
28adb8aeb.jpg,0,1,non_overlap_4x400
cbc2f9676.jpg,1,0,non_overlap_4x400
817c6c7a8.jpg,1,0,non_overlap_4x400
cc7c66720.jpg,1,0,non_overlap_4x400
a135808ff.jpg,1,0,non_overlap_4x400
508c739d1.jpg,1,0,non_overlap_4x400
4613bc12c.jpg,1,0,non_overlap_4x400
c7fb9db8c.jpg,0,1,non_overlap_4x400
464a009f9.jpg,1,0,non_overlap_4x400
b19fbab56.jpg,1,0,non_overlap_4x400
4e2e1bdb7.jpg,1,0,non_overlap_4x400
d1e1bf13e.jpg,1,0,non_overlap_4x400
005d86c25.jpg,1,0,non_overlap_4x400
a3c3733cd.jpg,1,0,non_overlap_4x400
b2ba56cd7.jpg,1,0,non_overlap_4x400
b5b5e513b.jpg,1,0,non_overlap_4x400
cb93f342e.jpg,1,0,non_overlap_4x400
8aaf235ef.jpg,1,0,non_overlap_4x400
3ac71c924.jpg,1,0,non_overlap_4x400
eb1f38f03.jpg,1,0,non_overlap_4x400
