configuration,period_ms,lines,seed,epochs,total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,mandatory_released,mandatory_unique_terminal_uids,mandatory_pre_reject,mandatory_wait_expire,mandatory_late_complete,mandatory_on_time,mandatory_terminal_residual,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_terminal_table_sha256,budget_mode,network_mode,release_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,fixed_voltage_index,enforce_thermal_feasibility,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,average_temperature_c,iit_celsius_seconds,peak_temperature_c,observation_horizon_s,admission_infeasible,scheduler,early_exit
Static-V,100,6,101,1000,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,368e16a18b5b73e12179e2ceeeef5d7bbd6d7e12c7147fe591b0919c4402b0f8,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2702374999999963,0.6884000000000013,10000,0.3726499957427494,6000,6000,0.2882106978177253,5176,0.4127265976393869,0.3140084338034297,0.6859915661965703,0.3273333333333333,0.1245158998216616,58.94045189161896,0.0,59.795055954877,99.9993,,,
Static-V,100,6,202,1000,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,1647dacc78c42fdbc64e7d28ec9e5575601944c739c0044734f158d076fd1351,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2702374999999963,0.6884000000000013,10000,0.3723868030281969,6000,6000,0.2928760295828164,5196,0.4166617024336316,0.3199259273363314,0.6800740726636686,0.3186666666666666,0.1237856728508152,58.94045189161896,0.0,59.795055954877,99.9993,,,
Static-V,100,6,303,1000,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,b40e3956fc736148fe48725c99a765faa7ca344bcdde335f7de5815dce321912,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2702374999999963,0.6884000000000013,10000,0.3723833679434392,6000,6000,0.284640494795948,5156,0.4120902700784999,0.3096678926478851,0.6903321073521149,0.3306666666666666,0.1274497752825519,58.94045189161896,0.0,59.795055954877,99.9993,,,
Static-V,100,6,404,1000,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,90dd8c8ff63030dd9dbbd25c0b5e9d426cebafe711c88974834a56210f18bdc1,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2702374999999963,0.6884000000000013,10000,0.3724622052226375,6000,6000,0.2872866411465852,5176,0.4122009190354262,0.3105602671798857,0.6894397328201143,0.3273333333333333,0.124914277888841,58.94045189161896,0.0,59.795055954877,99.9993,,,
Static-V,100,6,505,1000,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,64fec059e2099a382af339a6780c28497caac0c5ebb5f50adb7d0e94049738cd,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2702374999999963,0.6884000000000013,10000,0.3723186292608225,6000,6000,0.2890038496145874,5136,0.4183042774457355,0.3173183440568567,0.6826816559431432,0.3226666666666666,0.1293004278311481,58.94045189161896,0.0,59.795055954877,99.9993,,,
Static-V,100,6,606,1000,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,ae880915da58fff9f20affe7a5a25900cde6365bd54144492baa5036a1d84adc,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2702374999999963,0.6884000000000013,10000,0.3721003781781865,6000,6000,0.2866928486989403,5176,0.4147225801568384,0.3083519293920981,0.6916480706079019,0.3246666666666666,0.1280297314578981,58.94045189161896,0.0,59.795055954877,99.9993,,,
Static-V,100,6,707,1000,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,c0f27110c744a3fc7a33aecc95f2268b53928f9aef18cbadd02b335ecd207f0e,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2702374999999963,0.6884000000000013,10000,0.37238984347994514,6000,6000,0.28813269873118513,5180,0.4142861612899664,0.31178160505040187,0.6882183949495981,0.326,0.1261534625587813,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,6,808,1000,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,063cb3f34bb5042d5a315795e5ea1e803957554d0c67c50190b2b486a6968f17,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2702374999999963,0.6884000000000013,10000,0.3724085903453547,6000,6000,0.290914542093674,5188,0.41465344330483606,0.31908974006126417,0.6809102599387358,0.326,0.12373890121116204,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,6,909,1000,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,43ca3bc1908129b5c2ac96d7e4719f6173824add31150444bda10a9206dc8922,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2702374999999963,0.6884000000000013,10000,0.37231236858948136,6000,6000,0.2879226743247103,5192,0.41339101178547083,0.31394480070462394,0.6860551992953761,0.322,0.12546833746076053,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,6,1010,1000,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,da29db140ec3433f5a7bef5bfca040b9d439fbd33929da0e9b1ac51f823030f9,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2702374999999963,0.6884000000000013,10000,0.3724743970746037,6000,6000,0.28838073526500296,5176,0.412526721248925,0.310088733828545,0.689911266171455,0.3273333333333333,0.12414598598392201,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,8,101,1000,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,7cf8bd76105a69cbcfa528024b06ba0685b7cf989f92593219acc9df57a75972,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2026781249999972,0.516300000000001,10000,0.28279405408424824,8000,8000,0.21798649457876887,5480,0.40477923097607366,0.23358680242936664,0.7664131975706334,0.478,0.1867927363973048,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,8,202,1000,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,cecd2e2b4015e0253a77c84bc8294dc40fcdb67626c85441a4885ac7e1e0a2cf,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2026781249999972,0.516300000000001,10000,0.2831630764285491,8000,8000,0.21592790768838593,5360,0.40780255270989973,0.22722472894319354,0.7727752710568064,0.485,0.1918746450215138,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,8,303,1000,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,bd7b84aea338fe302b0ee7d2c48f979d735627420e20962c2e02d923a38d6eb4,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2026781249999972,0.516300000000001,10000,0.2821402178797269,8000,8000,0.21575537990624288,5400,0.40708652647015336,0.22913335098904547,0.7708666490109546,0.483,0.19133114656391048,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,8,404,1000,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,5ca264925b9e61abe6af384f83d2bd438e28677b091df6a9162c7f00606a3ba8,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2026781249999972,0.516300000000001,10000,0.2817866780170162,8000,8000,0.20970106838486263,5360,0.39380227134743556,0.22902182821354775,0.7709781717864522,0.49,0.18410120296257293,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,8,505,1000,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,e0562cda5afacd25e9cea92463a72bba01cebcb83b3a0e2cf87acf3c559f242f,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2026781249999972,0.516300000000001,10000,0.2823753393212612,8000,8000,0.21231241223688277,5296,0.40556742389623407,0.22676829334133197,0.773231706658668,0.488,0.1932550116593513,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,8,606,1000,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,b3f7d87e9e930f58c751ea196132bfa7bbd098461be2f291f3de0fd681adfca1,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2026781249999972,0.516300000000001,10000,0.2812681650526234,8000,8000,0.21857974191679444,5448,0.4033471624288631,0.22891813593596005,0.77108186406404,0.479,0.18476742051206865,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,8,707,1000,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,3229d72bc8e3fae88853d8b2ca6a7c360b501109e3ed6d246910f2374674f459,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2026781249999972,0.516300000000001,10000,0.28347459321839424,8000,8000,0.21542587377193095,5464,0.39926407978930856,0.23198641350914204,0.7680135864908579,0.482,0.1838382060173776,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,8,808,1000,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,27de0289d48909259c3ec73273a30652238c998725af9bca56b9346640409341,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2026781249999972,0.516300000000001,10000,0.282710072970894,8000,8000,0.21739363593781255,5424,0.40223762625386156,0.2303958745310253,0.7696041254689747,0.484,0.184843990316049,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,8,909,1000,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,dc764352a55b9710473d6c335317ee1833e6e0e75afae6c4e03aa4de75f0bf00,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2026781249999972,0.516300000000001,10000,0.28287664994156403,8000,8000,0.21945431492482848,5496,0.40623992427873845,0.22772192434733418,0.7722780756526658,0.476,0.18678560935390998,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,8,1010,1000,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,3e60c13bb053d2a15d370770980f7254e411ef520a9a5217c622de4cf4d89024,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.2026781249999972,0.516300000000001,10000,0.28320211189151967,8000,8000,0.22086808980440206,5408,0.40916186897595136,0.2365395595518021,0.7634604404481979,0.476,0.1882937791715493,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,10,101,1000,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,a925780f8b1d683f3eb6d71845f8efaf6bc3b25b7b67acfa41bcb9db8f32d6c4,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.16214249999999777,0.4130400000000008,10000,0.22785335599418807,10000,10000,0.18054777878247438,5920,0.3941277249701417,0.184567720659928,0.815432279340072,0.558,0.21357994618766732,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
Static-V,100,10,202,1000,40000,4000,26000,0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,7c19c4e792ca4dd66b416e493bc6af1289cd3d367758a27bcc3c2c322e41ad80,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2,False,0.0,0.0,0.0,0,0.6485699999999911,0.16214249999999777,0.4130400000000008,10000,0.23073663358678528,10000,10000,0.1887033825131429,5740,0.4267647847595147,0.1947172823457468,0.8052827176542532,0.554,0.2380614022463718,58.940451891618956,0.0,59.795055954877,99.99929999999999,,,
