configuration,mandatory_service_failure_rate_mean,mandatory_service_failure_rate_std,mandatory_pre_rejection_rate_mean,mandatory_pre_rejection_rate_std,mandatory_admitted_dmr_mean,mandatory_admitted_dmr_std,mean_complete_image_dice_mean,mean_complete_image_dice_std,pixel_defect_recall_mean,pixel_defect_recall_std,image_complete_miss_rate_mean,image_complete_miss_rate_std,average_temperature_c_mean,average_temperature_c_std,iit_celsius_seconds_mean,iit_celsius_seconds_std,peak_temperature_c_mean,peak_temperature_c_std
Static-V,0.0325,0.1005949637589693,0.0325,0.1005949637589693,0.0,0.0,0.4094460536705053,0.10156417166622869,0.5287832212943632,0.157417418849155,0.16958412499999997,0.15079187162448832,58.771709005893754,1.5548016296685399,0.0,0.0,59.732113343270136,0.42604861152856355
ESATD-L3,0.01328,0.0470252215017264,0.00153,0.006685850956690209,0.012034882401485454,0.04178374948201832,0.37732050291863783,0.1138563997252893,0.4163440544938911,0.16571725769529191,0.255542625,0.14900208446443616,35.040569817177435,3.2568855825943,0.0,0.0,37.626652626792264,4.84666280918828
HEAT-L3,0.546546,0.4754513800175373,0.0,0.0,0.546546,0.4754513800175373,0.24460868823397505,0.25527539148235306,0.29692497883979657,0.31038586774069316,0.5677244583333334,0.44959819159184966,66.9863505390402,12.771276916270468,5918.110304113896,3410.6266391549616,73.29052918473953,7.4114475156929975
Full-HBTASP,0.0325,0.1005949637589693,0.0325,0.1005949637589693,0.0,0.0,0.40679559201331394,0.10057180608641697,0.5301823397602626,0.15812054225712646,0.16884595833333332,0.15110102213047133,59.30712218872375,1.1027259274072188,0.0,0.0,59.999861118422444,0.0003287995877014321
