configuration,period_ms,lines,seed,epochs,total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,mandatory_released,mandatory_unique_terminal_uids,mandatory_pre_reject,mandatory_wait_expire,mandatory_late_complete,mandatory_on_time,mandatory_terminal_residual,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_terminal_table_sha256,budget_mode,network_mode,release_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,fixed_voltage_index,enforce_thermal_feasibility,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,average_temperature_c,iit_celsius_seconds,peak_temperature_c,observation_horizon_s,admission_infeasible,scheduler,early_exit,temperature_compensation
Static-V,100,10,303,1000,40000,4000.0,26000.0,0.0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,72f4a780a924c370b4e0f79ceff95e6c13e99e499ef58be4b869d68d4f51cd1c,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2.0,False,0.0,0.0,0.0,0.0,0.6485699999999911,0.1621424999999977,0.4130400000000008,10000,0.2273980365770315,10000,10000,0.1621522775965087,5620,0.3780090890440349,0.166945061473942,0.8330549385260579,0.598,0.2158568114475262,58.94045189161896,0.0,59.795055954877,99.9993,nan,nan,nan,
Static-V,100,10,404,1000,40000,4000.0,26000.0,0.0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,adc4d22cc1b03f53d681c17d2bb0b0520921b513b27c41ce62fcd480deab5955,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2.0,False,0.0,0.0,0.0,0.0,0.6485699999999911,0.1621424999999977,0.4130400000000008,10000,0.2278135375059916,10000,10000,0.1661402161683383,5640,0.3965858381530075,0.1888264399811705,0.8111735600188295,0.574,0.2304456219846692,58.94045189161896,0.0,59.795055954877,99.9993,nan,nan,nan,
Static-V,100,10,505,1000,40000,4000.0,26000.0,0.0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,72371a6dc2392aa631a2f1a80556a510e93ef225cc1a7e07482cb1ad30663640,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2.0,False,0.0,0.0,0.0,0.0,0.6485699999999911,0.1621424999999977,0.4130400000000008,10000,0.2295342742353902,10000,10000,0.1645603681647807,5700,0.386853387509099,0.181447638161099,0.818552361838901,0.58,0.2222930193443183,58.94045189161896,0.0,59.795055954877,99.9993,nan,nan,nan,
Static-V,100,10,606,1000,40000,4000.0,26000.0,0.0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,903a0f173f46d881f64c89dd6f644e1f36c9438a2dc8bf2dd26576201fbfc42f,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2.0,False,0.0,0.0,0.0,0.0,0.6485699999999911,0.1621424999999977,0.4130400000000008,10000,0.2282974600428936,10000,10000,0.1743826515008643,5840,0.3862514390851168,0.1723682994738482,0.8276317005261518,0.57,0.2118687875842524,58.94045189161896,0.0,59.795055954877,99.9993,nan,nan,nan,
Static-V,100,10,707,1000,40000,4000.0,26000.0,0.0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,013c9d9f2e8835d1195b690780ad4a7dde5a40c816ed2c5eecc755fd9402198c,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2.0,False,0.0,0.0,0.0,0.0,0.6485699999999911,0.1621424999999977,0.4130400000000008,10000,0.2292287656652989,10000,10000,0.1793459880527081,5920,0.3886709697823253,0.1897368383960799,0.8102631616039201,0.562,0.2093249817296171,58.94045189161896,0.0,59.795055954877,99.9993,nan,nan,nan,
Static-V,100,10,808,1000,40000,4000.0,26000.0,0.0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,4802fffd4eb60a7f490c928b0e7b1988ba6d3b0af4fa286453bae90d24f9aa25,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2.0,False,0.0,0.0,0.0,0.0,0.6485699999999911,0.1621424999999977,0.4130400000000008,10000,0.2280858599832464,10000,10000,0.1861328325549555,5900,0.4043708407561296,0.2050315317665578,0.7949684682334421,0.566,0.218238008201174,58.94045189161896,0.0,59.795055954877,99.9993,nan,nan,nan,
Static-V,100,10,909,1000,40000,4000.0,26000.0,0.0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,bcc4bd9bcf311ca8bd1be474f6e2d488cb7a8c39b1a2701ed39f21885120600c,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2.0,False,0.0,0.0,0.0,0.0,0.6485699999999911,0.1621424999999977,0.4130400000000008,10000,0.2277703060464773,10000,10000,0.1767372264646581,5920,0.3888452486876107,0.1846907831165563,0.8153092168834437,0.558,0.2121080222229526,58.94045189161896,0.0,59.795055954877,99.9993,nan,nan,nan,
Static-V,100,10,1010,1000,40000,4000.0,26000.0,0.0,0,10000,0,0,10000,10000,4000,0,0,6000,0,0.4,0.0,0.4,94917fed05a933472c176ccc8c4d3a3bfd4010636e8520465ce79b1a92644bd3,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2.0,False,0.0,0.0,0.0,0.0,0.6485699999999911,0.1621424999999977,0.4130400000000008,10000,0.2302127635437535,10000,10000,0.1692445307892739,5820,0.3783384860498535,0.1780050215746702,0.8219949784253298,0.58,0.2090939552605796,58.94045189161896,0.0,59.795055954877,99.9993,nan,nan,nan,
Static-V,150,4,101,1000,16000,0.0,616.0,0.0,0,15384,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,358345139b329c40140caebe1f44495eb1cb4ce7057ad9123725a473225c7759,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2.0,False,0.0,0.0,0.0,0.0,0.6570948517940204,0.6317966999999507,0.6884000000000013,15384,0.6507793289048084,4000,4000,0.4839334488887968,3992,0.4921052562569261,0.6262317064113891,0.3737682935886108,0.074,0.0081718073681292,59.241598259472,0.0,59.83697180748353,149.99949999999998,nan,nan,nan,
Static-V,150,4,202,1000,16000,0.0,658.0,0.0,0,15342,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,34b8939f5e22fe77656bcf596b267a8e14848f4c8183e258a0aa6bf6964bce30,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,2.0,False,0.0,0.0,0.0,0.0,0.6573140138182244,0.63028197499995,0.6884000000000013,15342,0.6512713734313683,4000,4000,0.484955714695664,3992,0.4919409985387866,0.6271959704092902,0.3728040295907098,0.078,0.0069852838431225,59.2186230975661,0.0,59.84598899854071,149.99740000000008,nan,nan,nan,
