cooling_enabled,total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,mandatory_released,mandatory_unique_terminal_uids,mandatory_pre_reject,mandatory_wait_expire,mandatory_late_complete,mandatory_on_time,mandatory_terminal_residual,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_terminal_table_sha256,period_ms,lines,epochs,seed,budget_mode,network_mode,release_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,fixed_voltage_index,enforce_thermal_feasibility,plant_thermal_response_factor,plant_ambient_c,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count,total_mandatory,mandatory_pre_execution_rejections,mandatory_rejection_ratio,admitted_mandatory_deadline_violations,admitted_mandatory_violation_ratio,peak_modeled_temperature,mean_voltage,completed_l1,completed_l2,completed_l3,completed_l4,completed_l5,dispatches,cooling_branch_dispatches,cooling_branch_rate,cooling_locally_decreasing_dispatches,cooling_locally_decreasing_rate,cooling_mean_planned_delta_c,cooling_total_iit_celsius_seconds,total_iit_celsius_seconds,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,runtime_seconds
False,16000,2000,9000,0,0,5000,0,0,4000,4000,2000,0,0,2000,0,0.5,0.0,0.5,21f8a0302771da6bb23b3802a6c8461ebd04f9ceef35334bcd274c2a2dae5c19,40,4,1000,101,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,4000,2000,0.5,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.19461250000000724,0.34420000000000067,5000,0.23418136155191327,4000,4000,0.1289564448091323,1968,0.3670899223246177,0.19014740376544742,0.8098525962345526,0.638,0.2381334775154854,1.470585584640503
False,16000,2000,9000,0,0,5000,0,0,4000,4000,2000,0,0,2000,0,0.5,0.0,0.5,0e494ecde600ff746abe6c52817b85176dfcf8af364a445fe55035d33cf9d251,40,4,1000,202,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,4000,2000,0.5,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.19461250000000724,0.34420000000000067,5000,0.23442024958671698,4000,4000,0.11921902212662294,1920,0.34825715438569776,0.1570875361470208,0.8429124638529792,0.662,0.22903813225907482,1.5249464511871338
False,16000,2000,9000,0,0,5000,0,0,4000,4000,2000,0,0,2000,0,0.5,0.0,0.5,0b2fd68a6068af12d512455cd9e994331509a9e3e6f76059acbf69b9b6df6b56,40,4,1000,303,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,4000,2000,0.5,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.19461250000000724,0.34420000000000067,5000,0.2343109163086275,4000,4000,0.12906717382830968,1920,0.3617578002055593,0.1765983344448519,0.8234016655551482,0.654,0.23269062637724963,1.5648314952850342
False,16000,2000,9000,0,0,5000,0,0,4000,4000,2000,0,0,2000,0,0.5,0.0,0.5,9ed7cd1876d7d0d6aa58d71297969eacc91b0db9761b824a850a1e021614734e,40,4,1000,404,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,4000,2000,0.5,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.19461250000000724,0.34420000000000067,5000,0.23485779730753886,4000,4000,0.11813634226981376,1872,0.34828164499163167,0.15996849996756526,0.8400315000324348,0.666,0.2301453027218179,1.4660804271697998
False,16000,2000,9000,0,0,5000,0,0,4000,4000,2000,0,0,2000,0,0.5,0.0,0.5,e05bcf92cfeb507f99a5fc1a653fe5a3cfec322babd1a7651762a4f1ab48be6a,40,4,1000,505,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,4000,2000,0.5,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.19461250000000724,0.34420000000000067,5000,0.23533135588564613,4000,4000,0.12499673521970045,1944,0.3529724914344107,0.18819456001297719,0.8118054399870228,0.654,0.22797575621471022,1.450575590133667
False,16000,2000,9000,0,0,5000,0,0,4000,4000,2000,0,0,2000,0,0.5,0.0,0.5,ac29201d7ecbec8ef74350bda1e1d454235bdea6ffcc7e2316024f01b0a4d622,40,4,1000,606,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,4000,2000,0.5,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.19461250000000724,0.34420000000000067,5000,0.23373616276064993,4000,4000,0.11803907712693375,1952,0.3393988644401366,0.1540310867469977,0.8459689132530023,0.656,0.22135978731320288,1.4658739566802979
False,16000,2000,9000,0,0,5000,0,0,4000,4000,2000,0,0,2000,0,0.5,0.0,0.5,265d13cb8b0d40ddd6fe43b474e5e42dcb645a5dd8fdf577173073bdc8da3d24,40,4,1000,707,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,4000,2000,0.5,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.19461250000000724,0.34420000000000067,5000,0.233622199772172,4000,4000,0.13128429204701392,2000,0.35900044544982823,0.19030203549259725,0.8096979645074027,0.63,0.22771615340281431,1.4719116687774658
False,16000,2000,9000,0,0,5000,0,0,4000,4000,2000,0,0,2000,0,0.5,0.0,0.5,b6efc04df4a888bc4f72b7ae2720f940ec79475c7d8dde24b04db4a85e3cfd5b,40,4,1000,808,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,4000,2000,0.5,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.19461250000000724,0.34420000000000067,5000,0.2329938193630814,4000,4000,0.13158832314003618,1904,0.3715728369798763,0.19713410370596035,0.8028658962940396,0.642,0.23998451383984012,1.4783353805541992
False,16000,2000,9000,0,0,5000,0,0,4000,4000,2000,0,0,2000,0,0.5,0.0,0.5,12412b380783c4f12cc27c0c040c59c603fd9765f9b637765d71fbcca8d64fd4,40,4,1000,909,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,4000,2000,0.5,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.19461250000000724,0.34420000000000067,5000,0.2344389373977718,4000,4000,0.13136833943283047,1928,0.3703307884723545,0.18408280677356204,0.815917193226438,0.642,0.23896244903952404,1.486642599105835
False,16000,2000,9000,0,0,5000,0,0,4000,4000,2000,0,0,2000,0,0.5,0.0,0.5,811d5b078322620c14071e65d3f45bb2ffd40b921cdd2ebccc8598f02a9f739b,40,4,1000,1010,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,4000,2000,0.5,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.19461250000000724,0.34420000000000067,5000,0.23647755639606496,4000,4000,0.12544780383537676,1896,0.3613303172653409,0.16256154874390158,0.8374384512560984,0.656,0.2358825134299641,1.4796500205993652
