metric,cooling_minus_control,ci95_low,ci95_high
mandatory_rejection_ratio,0.0,0.0,0.0
admitted_mandatory_violation_ratio,0.0,0.0,0.0
mean_voltage,-0.013977549583596992,-0.014129223682510432,-0.013825875484683553
peak_modeled_temperature,-0.41461636782973893,-0.44301839683827815,-0.3862143388211997
total_iit_celsius_seconds,0.0,0.0,0.0
mean_complete_image_dice,-0.00047520324886432595,-0.0006423869130003158,-0.00030801958472833615
pixel_defect_recall,0.0025610251839478255,0.002405571809826024,0.002716478558069627
image_complete_miss_rate,-0.0011812689393939388,-0.0014438212940476058,-0.0009187165847402717
