period_ms,lines,seed,mandatory_rejection_ratio,admitted_mandatory_violation_ratio,mean_voltage,peak_modeled_temperature,total_iit_celsius_seconds,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate
50,4,909,0.0,0.0,-0.00041000000000002146,-2.1042237108304107e-07,0.0,0.0002920388793281048,0.00013277845600880023,-0.00024999999999997247
50,4,1010,0.0,0.0,-0.0004175000000000706,-5.082499761499548e-06,0.0,-0.00014061296790589262,-4.442777235269535e-05,-0.00024999999999997247
50,6,101,0.0,0.0,-0.0004175000000000706,-5.226627507681769e-06,0.0,-1.587796046359502e-05,-0.0002478352588528021,0.0001666666666666483
50,6,202,0.0,0.0,-0.0003450000000000397,-2.6855821388949153e-06,0.0,4.6187704409200725e-05,-7.1298744128978075e-06,0.0003333333333332966
50,6,303,0.0,0.0,-0.0002975000000000616,-4.470954579005593e-06,0.0,-9.773796443840466e-05,-0.00012859188717009862,0.000500000000000056
50,6,404,0.0,0.0,-0.0004775000000001306,2.0827006821377836e-06,0.0,-9.106238114000437e-05,-7.487055019249345e-05,0.0
50,6,505,0.0,0.0,-0.0003250000000000197,2.1861414793988843e-06,0.0,4.0607563439702676e-05,-4.638539683030074e-05,0.0
50,6,606,0.0,0.0,-0.00019750000000007262,3.2421971525309345e-06,0.0,-0.0003814005802499007,0.00020318081419209988,0.00033333333333340764
50,6,707,0.0,0.0,-0.0003975000000000506,2.5032137003222488e-06,0.0,0.00026526429076739744,-2.814857932920134e-05,0.0
50,6,808,0.0,0.0,-0.0004775000000001306,-2.6626399858287186e-06,0.0,0.00019304068525859835,-1.4012469943952555e-06,-0.0001666666666666483
50,6,909,0.0,0.0,-0.0003500000000000725,-3.8096543804044813e-06,0.0,-8.047032263179543e-05,2.4185248369598678e-05,-0.000500000000000056
50,6,1010,0.0,0.0,-0.0003575000000001216,-4.149127043717726e-06,0.0,-0.00015644759275380143,-6.859241414880479e-05,0.00016666666666675933
50,8,101,0.0,0.0,-0.0002775000000000416,3.6678044068594318e-06,0.0,8.56005277589944e-06,-2.3857260408800818e-05,0.0
50,8,202,0.0,0.0,-0.0005450000000001287,3.8139013938121025e-06,0.0,1.255375367194278e-06,-4.191377039219901e-05,0.00012499999999993072
50,8,303,0.0,0.0,-0.0005250000000001087,2.5705097073114302e-06,0.0,9.52775083555013e-05,-1.0988455290898702e-05,0.00012499999999993072
50,8,404,0.0,0.0,-0.0004175000000000706,1.4962662291395645e-06,0.0,7.966347323409839e-05,-4.286167277101072e-06,0.0
50,8,505,0.0,0.0,-0.0003300000000000525,-3.6045185822786152e-06,0.0,4.855491239189741e-05,-7.267938454919715e-05,0.0
50,8,606,0.0,0.0,-0.00038250000000006334,-6.991714229798163e-08,0.0,-8.536438552100845e-06,-2.0766274391695316e-05,0.0
50,8,707,0.0,0.0,-0.0005574999999999886,-2.818425016926085e-06,0.0,0.00012297555002559885,3.4516010524503205e-05,0.00012499999999993072
50,8,808,0.0,0.0,-0.0005100000000000104,2.888607404827326e-06,0.0,6.463759841029981e-05,7.834104060390479e-05,0.0
50,8,909,0.0,0.0,-0.0004050000000000997,-2.855038395921383e-06,0.0,-0.00018910367791150073,3.791609514303129e-06,-0.00024999999999997247
50,8,1010,0.0,0.0,-0.0004300000000001525,3.992789579854161e-06,0.0,1.68698985667029e-05,1.3703371342599358e-05,0.0
50,10,101,0.0,0.0,-0.0003824999999999523,-1.8709003128947188e-06,0.0,3.1166072867502836e-05,4.0384762642297484e-05,-0.00019999999999997797
50,10,202,0.0,0.0,-0.00040250000000008335,1.6969976073255566e-06,0.0,-2.017420170988271e-07,2.807027435010323e-05,0.0
50,10,303,0.0,0.0,-0.0003500000000000725,2.36277717391431e-06,0.0,-5.573730085597917e-06,3.139205398990097e-05,0.00019999999999997797
50,10,404,0.0,0.0,-0.0005775000000001196,2.9746987735279617e-06,0.0,5.703686324259882e-05,6.688893741002566e-06,0.0
50,10,505,0.0,0.0,-0.00048250000000005233,8.317251172229589e-07,0.0,1.5646918282298528e-05,-1.1824051844099015e-05,0.0
50,10,606,0.0,0.0,-0.0003500000000000725,3.6669254299681597e-06,0.0,1.3518877166794618e-05,4.9439291015196396e-05,0.0
50,10,707,0.0,0.0,-0.0004100000000001325,2.8413152719508616e-06,0.0,-0.0001426731629366046,0.0001726954494339003,0.0005999999999999339
50,10,808,0.0,0.0,-0.0005175000000000596,-6.992723129428668e-07,0.0,-1.5514803063599453e-05,6.978210032249771e-05,0.0
50,10,909,0.0,0.0,-0.00048500000000017973,2.5428418624073856e-06,0.0,-2.5257656507099435e-05,-2.346264452729452e-05,0.0
50,10,1010,0.0,0.0,-0.0005550000000000832,-1.3090680539562527e-07,0.0,0.00013743628024139726,4.415988689789735e-05,-9.999999999998899e-05
60,4,101,0.0,0.0,-0.0003885714285714048,-0.0008326352256773362,0.0,6.993131113100515e-05,-4.602478179488445e-05,0.0
60,4,202,0.0,0.0,-0.0003571428571429447,-0.0009448856103446701,0.0,3.558248572510525e-05,6.995931685405132e-06,0.0
60,4,303,0.0,0.0,-0.00037285714285717475,-0.0014278755938832433,0.0,-2.716392853530092e-05,5.831660285587903e-06,0.0
60,4,404,0.0,0.0,-0.0003700000000000925,-0.004443250828892076,0.0,-1.4524402538101944e-05,2.858131737171199e-05,0.0002500000000000835
60,4,505,0.0,0.0,-0.00033857142857152134,0.00019336621181764713,0.0,0.00012820836236637767,5.387588627847606e-05,0.0
60,4,606,0.0,0.0,-0.00036285714285722026,-0.0035872670118806127,0.0,2.3893166840510682e-05,-4.945577627391007e-05,0.0
