period_ms,metric,cooling_minus_control,ci95_low,ci95_high
750,total_iit_celsius_seconds,0.0,0.0,0.0
750,mean_complete_image_dice,0.0026857606900815125,0.002190251931146169,0.003181269449016856
750,pixel_defect_recall,0.007140792376463534,0.006526533808335298,0.00775505094459177
750,image_complete_miss_rate,-0.0035241666666666616,-0.004447368326229854,-0.0026009650071034686
1000,mandatory_rejection_ratio,0.0,0.0,0.0
1000,admitted_mandatory_violation_ratio,0.0,0.0,0.0
1000,mean_voltage,-0.05028517916664064,-0.050812665410388924,-0.04975769292289235
1000,peak_modeled_temperature,-2.4002629055519806,-2.543990149634912,-2.2565356614690493
1000,total_iit_celsius_seconds,0.0,0.0,0.0
1000,mean_complete_image_dice,0.0027516822333853814,0.0019403947653388273,0.0035629697014319356
1000,pixel_defect_recall,0.00769350771941473,0.0070182376037749294,0.00836877783505453
1000,image_complete_miss_rate,-0.0042535416666666815,-0.005047175538835713,-0.00345990779449765
