configuration,level,period_ms,lines,seed,epochs,total_regions,completed,expired_waiting,admission_infeasible,deadline_misses,thermal_violations,mandatory_released,mandatory_unique_terminal_uids,mandatory_pre_reject,mandatory_wait_expire,mandatory_late_complete,mandatory_on_time,mandatory_terminal_residual,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_terminal_table_sha256,scheduler,release_mode,early_exit,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,average_temperature_c,iit_celsius_seconds,peak_temperature_c,observation_horizon_s
ESATD-L1,1,100,4,101,1000,16000,16000,0,0,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,358345139b329c40140caebe1f44495eb1cb4ce7057ad9123725a473225c7759,ESATD-L1,periodic,False,4000,4000,0.4247423119946164,4000,0.4247423119946164,0.6654705787174815,0.3345294212825185,0.042,0.0,29.90097639496082,0.0,29.999833926452936,99.99239999999995
ESATD-L1,1,100,4,202,1000,16000,16000,0,0,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,34b8939f5e22fe77656bcf596b267a8e14848f4c8183e258a0aa6bf6964bce30,ESATD-L1,periodic,False,4000,4000,0.4247423119946172,4000,0.4247423119946172,0.6654705787174815,0.3345294212825185,0.042,0.0,29.90097639496082,0.0,29.999833926452936,99.99239999999995
ESATD-L1,1,100,4,303,1000,16000,16000,0,0,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,cb9cf6119f28cbbe2f515263b460577c6bf03d42557f7919b99931e42d877f4b,ESATD-L1,periodic,False,4000,4000,0.4247423119946166,4000,0.4247423119946166,0.6654705787174815,0.3345294212825185,0.042,0.0,29.90097639496082,0.0,29.999833926452936,99.99239999999995
ESATD-L1,1,100,4,404,1000,16000,16000,0,0,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,19660c8d7c38bf482c258d456033c0235b91bafa3f9150f8928502cb0b6a233e,ESATD-L1,periodic,False,4000,4000,0.42474231199461693,4000,0.42474231199461693,0.6654705787174815,0.3345294212825185,0.042,0.0,29.90097639496082,0.0,29.999833926452936,99.99239999999995
ESATD-L1,1,100,4,505,1000,16000,16000,0,0,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,73cdab68096cc443e0e24ada558429cabf1afc7f75cc16ce9d024a0d7cee62f9,ESATD-L1,periodic,False,4000,4000,0.4247423119946171,4000,0.4247423119946171,0.6654705787174815,0.3345294212825185,0.042,0.0,29.90097639496082,0.0,29.999833926452936,99.99239999999995
ESATD-L1,1,100,4,606,1000,16000,16000,0,0,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,7833957291a032d51d81862cac99e9d8ccb12f68b533b2caf53ee51ae3f9dc9c,ESATD-L1,periodic,False,4000,4000,0.42474231199461704,4000,0.42474231199461704,0.6654705787174815,0.3345294212825185,0.042,0.0,29.90097639496082,0.0,29.999833926452936,99.99239999999995
ESATD-L1,1,100,4,707,1000,16000,16000,0,0,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,7299403d9d2d4f4ccec9f76133c48d8d07e2ed601a2777f731db87ca14e66056,ESATD-L1,periodic,False,4000,4000,0.42474231199461715,4000,0.42474231199461715,0.6654705787174815,0.3345294212825185,0.042,0.0,29.90097639496082,0.0,29.999833926452936,99.99239999999995
ESATD-L1,1,100,4,808,1000,16000,16000,0,0,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,332b0fc25c5dccfb6fb5145b59221f17277c51b24f8c2d6148183eada1540c2c,ESATD-L1,periodic,False,4000,4000,0.4247423119946168,4000,0.4247423119946168,0.6654705787174815,0.3345294212825185,0.042,0.0,29.90097639496082,0.0,29.999833926452936,99.99239999999995
ESATD-L1,1,100,4,909,1000,16000,16000,0,0,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,3a15676bda67054cb5929717fc730bfa67cd49969827870cd1819db4b67b2b0f,ESATD-L1,periodic,False,4000,4000,0.42474231199461693,4000,0.42474231199461693,0.6654705787174815,0.3345294212825185,0.042,0.0,29.90097639496082,0.0,29.999833926452936,99.99239999999995
ESATD-L1,1,100,4,1010,1000,16000,16000,0,0,0,0,4000,4000,0,0,0,4000,0,0.0,0.0,0.0,f74ec5db6e908852b709fb2fc49501319e260c6bb970c5803f31b89af1514827,ESATD-L1,periodic,False,4000,4000,0.42474231199461665,4000,0.42474231199461665,0.6654705787174815,0.3345294212825185,0.042,0.0,29.90097639496082,0.0,29.999833926452936,99.99239999999995
