level,service_failure,dci,recall,miss,atp,iit
1,0.0,0.39128685587142975,0.5968170309630664,0.0955485,31.059507195027706,0.0
2,0.0,0.42060077105335436,0.5002866806692454,0.17171087499999999,32.7176399343725,0.0
3,0.01328,0.37732050291863783,0.4163440544938911,0.255542625,35.040569817177435,0.0
4,0.028224999999999997,0.3187980779337384,0.36229031552283836,0.3112776666666667,36.27859500460802,0.0
5,0.08592375000000001,0.25883895604565194,0.2681349694516478,0.405689125,38.03241401643859,0.0
