axis,response_factor,ambient_c,average_temperature_c,peak_temperature_c,iit_celsius_seconds,mandatory_admitted_dmr,mandatory_service_failure_rate,mean_complete_image_dice,pixel_defect_recall
ambient,1.0,20.0,58.193000107597676,59.98503059989558,0.0,0.0,0.0,0.4945783576500723,0.6346779029778231
ambient,1.0,30.0,59.609568615220894,60.09972897803001,0.9245213097495174,0.0,0.054349999999999996,0.48816893065190925,0.6302275085226727
ambient,1.0,35.0,59.79522491323062,60.19913664686684,6.3736014184192715,0.0,0.1755,0.4730164387554293,0.608677450745962
response,0.8,25.0,56.361481683372325,59.48298315628521,0.0,0.0,0.0,0.4952692736770331,0.6334897341348136
response,0.9,25.0,58.76382087564964,59.98858660960612,0.0,0.0,0.0,0.49401350903921093,0.6358840407528785
response,1.0,25.0,59.39733371099171,59.999977035157215,0.0,0.0,0.0,0.4922399089029429,0.6348320720873989
response,1.1,25.0,59.49653451355199,60.063428138510986,0.39206653836113736,0.0,0.021225,0.4938737945679934,0.6345478631354253
response,1.2,25.0,59.57327962534024,60.11633795613045,1.1769813839786498,0.0,0.06567500000000001,0.48814166051127045,0.6275695655252356
