axis,response_factor,ambient_c,period_ms,lines,epochs,seed,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_pre_rejection_rate,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,average_temperature_c,iit_celsius_seconds,peak_temperature_c,observation_horizon_s
ambient,1.0,20.0,200,4,1000,101,0.0,0.0,0.0,4000,4000,0.49611679527595565,4000,0.4969357284258994,0.6371582183424715,0.36284178165752845,0.06375,0.0008189331499437458,57.922832508472624,0.0,59.9848997284949,199.98478787878787
ambient,1.0,20.0,200,4,1000,202,0.0,0.0,0.0,4000,4000,0.49388868488646076,4000,0.4945082381790534,0.63410808485721,0.36589191514278996,0.062,0.0006195532925926672,58.295199796999675,0.0,59.98481503997723,199.98478787878787
ambient,1.0,20.0,200,4,1000,303,0.0,0.0,0.0,4000,4000,0.4955529052594874,4000,0.49602904014777965,0.6369097854929888,0.3630902145070112,0.061,0.0004761348882922345,58.45201552494626,0.0,59.98484512130773,199.98478787878787
ambient,1.0,20.0,200,4,1000,404,0.0,0.0,0.0,4000,4000,0.4941195274255159,4000,0.4952039420919395,0.6343690362000621,0.36563096379993787,0.066,0.0010844146664236165,57.89847955542036,0.0,59.98492712721829,199.98478787878787
ambient,1.0,20.0,200,4,1000,505,0.0,0.0,0.0,4000,4000,0.49515301722529653,4000,0.49691346282109317,0.6329784015909593,0.3670215984090407,0.0645,0.0017604455957966336,58.00695985337591,0.0,59.98521666853934,199.98478787878787
ambient,1.0,20.0,200,4,1000,606,0.0,0.0,0.0,4000,4000,0.49343228409077294,3992,0.49559384893592967,0.6294061593542593,0.37059384064574075,0.064,0.002161564845156727,58.358025992340934,0.0,59.984889187175085,199.98478787878787
ambient,1.0,20.0,200,4,1000,707,0.0,0.0,0.0,4000,4000,0.4943513132194701,4000,0.4952048669608957,0.6367376999981289,0.3632623000018711,0.064,0.0008535537414255945,58.177398382939145,0.0,59.98551182395952,199.98775757575757
ambient,1.0,20.0,200,4,1000,808,0.0,0.0,0.0,4000,4000,0.491408445194413,3992,0.4934750337904752,0.6342976859395002,0.3657023140604998,0.06975,0.00206658859606218,58.08369506046263,0.0,59.98509224633616,199.98775757575757
ambient,1.0,20.0,200,4,1000,909,0.0,0.0,0.0,4000,4000,0.49551003903077584,3992,0.4971972245608566,0.6367875369960116,0.36321246300398835,0.0645,0.001687185530080737,58.23809379742601,0.0,59.984728048972435,199.98478787878787
ambient,1.0,20.0,200,4,1000,1010,0.0,0.0,0.0,4000,4000,0.4962505648925754,3992,0.4977926410217014,0.6340264210066378,0.36597357899336225,0.064,0.001542076129125991,58.49730060359322,0.0,59.985381006975146,199.98775757575757
ambient,1.0,30.0,200,4,1000,101,0.0,0.067,0.067,4000,4000,0.4804880941936563,3961,0.48960706865679443,0.6269918107828594,0.37300818921714063,0.082,0.00911897446313814,59.59801771433151,0.7897310763900336,60.099178556745876,199.9857748917749
ambient,1.0,30.0,200,4,1000,202,0.0,0.05525,0.05525,4000,4000,0.48703349805189,3999,0.4915258269757465,0.6295088934261817,0.37049110657381834,0.06925,0.004492328923856481,59.6156136813288,1.0028708064170058,60.10001201625735,199.96232034632035
ambient,1.0,30.0,200,4,1000,303,0.0,0.0485,0.0485,4000,4000,0.49284105104499426,3972,0.499939418741228,0.640895890150808,0.35910410984919205,0.06775,0.007098367696233732,59.628154798168104,0.998436569082368,60.100019875444836,199.94084135472372
ambient,1.0,30.0,200,4,1000,404,0.0,0.05,0.05,4000,4000,0.48837811238292683,3978,0.4952486761149586,0.6315680155812071,0.3684319844187929,0.07275,0.006870563732031765,59.60550812757823,0.8348631944663099,60.098731532979684,199.96164654952892
ambient,1.0,30.0,200,4,1000,505,0.0,0.0615,0.0615,4000,4000,0.4873023466540146,3976,0.49656038789156254,0.6242156107817219,0.37578438921827806,0.0695,0.00925804123754792,59.59466072140047,1.0046441402470674,60.10007287661367,199.9691900178253
ambient,1.0,30.0,200,4,1000,606,0.0,0.05025,0.05025,4000,4000,0.4852292650586904,3990,0.4908442964994021,0.6236517634157654,0.37634823658423455,0.069,0.005615031440711682,59.61800240424468,0.9270424905345114,60.099888870703005,199.9543831168831
ambient,1.0,30.0,200,4,1000,707,0.0,0.06125,0.06125,4000,4000,0.4849910072942135,3976,0.49163212230505915,0.6318255977493006,0.3681744022506994,0.07775,0.006641115010845633,59.60392152764374,0.852640105395189,60.09994997250811,199.98775757575757
ambient,1.0,30.0,200,4,1000,808,0.0,0.05025,0.05025,4000,4000,0.49224381222571434,3968,0.49966577461942796,0.6312159316672836,0.3687840683327164,0.075,0.007421962393713621,59.6059782494179,0.9223222987643218,60.099720609060725,199.98775757575757
ambient,1.0,30.0,200,4,1000,909,0.0,0.0525,0.0525,4000,4000,0.4872591517268262,3969,0.49598118015043596,0.6290213418984144,0.3709786581015856,0.0745,0.008722028423609751,59.61229583320647,0.9266250285583797,60.099865510732336,199.95759307359307
ambient,1.0,30.0,200,4,1000,1010,0.0,0.047,0.047,4000,4000,0.49592296788616597,3976,0.5020570134021852,0.6333802297731851,0.3666197702268149,0.06775,0.00613404551601926,59.61353309488905,0.9860373876399882,60.09984995925445,199.98510822510823
ambient,1.0,35.0,200,4,1000,101,0.0,0.1765,0.1765,4000,4000,0.47085558013417167,3928,0.48914006195183807,0.6111333730792922,0.38886662692070784,0.10125,0.018284481817666398,59.79237525433124,6.485274754780106,60.20005361325032,199.98312554112556
ambient,1.0,35.0,200,4,1000,202,0.0,0.17875,0.17875,4000,4000,0.47307099701121724,3908,0.4955475132899531,0.6052750787974762,0.3947249212025238,0.0925,0.02247651627873587,59.79203365022594,6.414353413880718,60.200254736370695,199.9807725999491
ambient,1.0,35.0,200,4,1000,303,0.0,0.1765,0.1765,4000,4000,0.4716976395591623,3940,0.4927889856595035,0.6021991973986921,0.3978008026013079,0.0825,0.021091346100341246,59.796056999795134,6.145485384623991,60.19637027549596,199.9794891774892
ambient,1.0,35.0,200,4,1000,404,0.0,0.18,0.18,4000,4000,0.4734855937780847,3919,0.4945724610140384,0.6067773598215174,0.39322264017848263,0.0925,0.02108686723595371,59.79670176785817,6.460295208580553,60.200185644309244,199.9807725999491
ambient,1.0,35.0,200,4,1000,505,0.0,0.1715,0.1715,4000,4000,0.4724628641322981,3936,0.49376540926006135,0.602330739460294,0.39766926053970597,0.08275,0.02130254512776325,59.79171917531224,6.2208606894366785,60.19770943672172,199.9807725999491
ambient,1.0,35.0,200,4,1000,606,0.0,0.17075,0.17075,4000,4000,0.4669279419930936,3899,0.4883375329647638,0.6053153955584262,0.3946846044415738,0.096,0.021409590971670167,59.80107656220495,6.573259877707251,60.197494633740874,199.9794891774892
ambient,1.0,35.0,200,4,1000,707,0.0,0.181,0.181,4000,4000,0.4701039110969602,3889,0.4925767120491566,0.6181083375762269,0.38189166242377315,0.0955,0.022472800952196392,59.7963505350556,6.091555464939306,60.200285429980994,199.96995008912657
ambient,1.0,35.0,200,4,1000,808,0.0,0.17175,0.17175,4000,4000,0.478252201760711,3905,0.49998801567690604,0.6125466852224739,0.3874533147775261,0.0955,0.021735813916195057,59.791977772183245,6.3141905620100065,60.200107444179444,199.98184848484848
ambient,1.0,35.0,200,4,1000,909,0.0,0.169,0.169,4000,4000,0.47291137742331757,3921,0.4921792996800312,0.6096699766593464,0.3903300233406536,0.09275,0.019267922256713643,59.80200169815648,6.730186824004741,60.199079526400986,199.9626883116883
