axis,response_factor,ambient_c,n_seeds,average_temperature_c,average_temperature_c_ci95,peak_temperature_c,peak_temperature_c_ci95,iit_celsius_seconds,iit_celsius_seconds_ci95,mandatory_admitted_dmr,mandatory_admitted_dmr_ci95,mandatory_service_failure_rate,mandatory_service_failure_rate_ci95,mean_complete_image_dice,mean_complete_image_dice_ci95,pixel_defect_recall,pixel_defect_recall_ci95,image_complete_miss_rate,image_complete_miss_rate_ci95
ambient,1.0,20.0,10.0,58.193000107597676,0.15192507249812195,59.98503059989558,0.00018669771674793552,0.0,0.0,0.0,0.0,0.0,0.0,0.4945783576500723,0.0010505610574328165,0.6346779029778231,0.0017111383420978339,0.06434999999999999,0.0016759651893416682
ambient,1.0,30.0,10.0,59.609568615220894,0.007126529644113225,60.09972897803001,0.0003098605135877861,0.9245213097495174,0.05499700347986345,0.0,0.0,0.054349999999999996,0.004791497129534542,0.48816893065190925,0.003192111112586415,0.6302275085226727,0.0035440957169155752,0.07252499999999999,0.003414585760061213
ambient,1.0,35.0,10.0,59.79522491323062,0.002782173165840776,60.19913664686684,0.0010205518818714857,6.3736014184192715,0.14156247962707366,0.0,0.0,0.1755,0.003127272622479247,0.4730164387554293,0.002764165148584776,0.608677450745962,0.003710550191425418,0.09225000000000001,0.004149857968640901
response,0.8,25.0,10.0,56.361481683372325,0.1404985482293548,59.48298315628521,0.31779424445478954,0.0,0.0,0.0,0.0,0.0,0.0,0.4952692736770331,0.0010912392189510844,0.6334897341348136,0.0017218235689498553,0.06420000000000001,0.0012527259113130256
response,0.9,25.0,10.0,58.76382087564964,0.09734306999845144,59.98858660960612,7.070288215902477e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.49401350903921093,0.0014400848314741622,0.6358840407528785,0.0020394600587074693,0.0639,0.0013335219805300483
response,1.0,25.0,10.0,59.39733371099171,0.025908042300686506,59.999977035157215,1.8337892508692783e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.4922399089029429,0.0019516153964819014,0.6348320720873989,0.002670019028736111,0.063425,0.001980823286935166
response,1.1,25.0,10.0,59.49653451355199,0.010284792005790638,60.063428138510986,0.00023861788434493373,0.39206653836113736,0.030669703002150103,0.0,0.0,0.021225,0.0033999840863230663,0.4938737945679934,0.0017362720350921933,0.6345478631354253,0.0031802332799497966,0.069175,0.0019772319082455225
response,1.2,25.0,10.0,59.57327962534024,0.00702081174888698,60.11633795613045,0.000412050739806004,1.1769813839786498,0.05647851012335004,0.0,0.0,0.06567500000000001,0.007322004967054283,0.48814166051127045,0.002015084427267231,0.6275695655252356,0.002603877964226746,0.076675,0.004392840572284216
