metric,hbt_minus_edf,ci95_low,ci95_high,paired_t_p,hbt_higher,ties,hbt_lower
mandatory_dmr,-0.3166078911564626,-0.32856064572569554,-0.30465513658722965,1.1091219875748068e-166,0,0,350
historical_coverage_adjusted_dice,-0.05576604826334075,-0.05839539112542459,-0.05313670540125691,1.153564533337107e-137,0,0,350
historical_weighted_coverage_utility,-0.010129078176405659,-0.011973702762469705,-0.008284453590341613,1.190961540880598e-23,92,0,258
historical_mandatory_effective_dice,0.21795287227210927,0.2097245960266493,0.22618114851756924,1.1091219875748068e-166,350,0,0
mean_complete_image_dice,-0.07663409081147594,-0.07950438753365066,-0.07376379408930123,9.536890630936142e-168,0,0,350
pixel_defect_recall,-0.12059699861447626,-0.12528525839769034,-0.11590873883126218,9.318455317424913e-163,0,0,350
image_complete_miss_rate,0.09592156349206349,0.09099116770480896,0.10085195927931802,6.3551827074832174e-127,350,0,0
