configuration,total_regions,completed,expired_waiting,admission_infeasible,deadline_misses,thermal_violations,period_ms,lines,epochs,seed,scheduler,total_mandatory,missed_mandatory,mandatory_dmr,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,runtime_seconds,release_mode,wcet_scale,mandatory_infeasible,optional_skipped,dispatch_infeasible,budget_mode,network_mode,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count
EDF-Dynamic-Reservation,16000,5872,0,10128,0,0,50,4,1000,101,edf_dynamic_reservation,4000,2984,0.746,0.632628882833807,0.23217480000000718,0.17485360000000033,5872,0.2254104989432894,4000,4000,0.2081561588865876,1872,0.4859801373909998,0.2531527439177432,0.7468472560822568,0.578,0.2778239785044122,0.31209874153137207,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,16000,5832,0,10168,0,0,50,4,1000,202,edf_dynamic_reservation,4000,2944,0.736,0.6335547325103058,0.23093070000000648,0.18173760000000036,5832,0.22526285061770168,4000,4000,0.2022913227505343,1888,0.4620953083002124,0.261483157299619,0.738516842700381,0.574,0.2598039855496781,0.3260624408721924,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,16000,5784,0,10216,0,0,50,4,1000,303,edf_dynamic_reservation,4000,3016,0.754,0.6348301521438624,0.22949110000000625,0.16934640000000034,5784,0.22294855095883792,4000,4000,0.2033301212210887,1872,0.46144213765395203,0.26600951479679735,0.7339904852032026,0.586,0.2581120164328633,0.3187839984893799,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,16000,5712,0,10288,0,0,50,4,1000,404,edf_dynamic_reservation,4000,3088,0.772,0.6362233893557585,0.2271317500000058,0.1569552000000003,5712,0.21919675371472058,4000,4000,0.20637535264363666,1888,0.4776349989169275,0.25140415252128434,0.7485958474787157,0.58,0.27125964627329086,0.3038063049316406,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,16000,5952,0,10048,0,0,50,4,1000,505,edf_dynamic_reservation,4000,3088,0.772,0.6333228494623854,0.23559610000000736,0.1569552000000003,5952,0.22724190915008302,4000,4000,0.20809090884579068,1856,0.480640477348659,0.2685819569996862,0.7314180430003139,0.578,0.2725495685028683,0.3200345039367676,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,16000,5880,0,10120,0,0,50,4,1000,606,edf_dynamic_reservation,4000,3008,0.752,0.6341137414966169,0.23303680000000673,0.17072320000000032,5880,0.22476894061638733,4000,4000,0.20207953577310075,1848,0.46527868294067437,0.2980283383246575,0.7019716616753424,0.598,0.26319914716757364,0.3230571746826172,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,16000,5872,0,10128,0,0,50,4,1000,707,edf_dynamic_reservation,4000,3016,0.754,0.6331737057220904,0.23237475000000718,0.16934640000000034,5872,0.2245547566631343,4000,4000,0.2049366674579839,1872,0.47019552561879524,0.2432604346948426,0.7567395653051574,0.594,0.26525885816081135,0.3150520324707031,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,16000,5960,0,10040,0,0,50,4,1000,808,edf_dynamic_reservation,4000,3128,0.782,0.6326397315436428,0.23565830000000695,0.1500712000000003,5960,0.22544640693117474,4000,4000,0.20894100492680426,1888,0.4714939240641504,0.25328742848179586,0.7467125715182041,0.572,0.26255291913734613,0.3054187297821045,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,16000,5800,0,10200,0,0,50,4,1000,909,edf_dynamic_reservation,4000,2952,0.738,0.6334220689655378,0.22961550000000744,0.18036080000000035,5800,0.22223899821599835,4000,4000,0.19371221162147784,1864,0.45114430828381585,0.2554637299167305,0.7445362700832695,0.592,0.257432096662338,0.3179657459259033,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,16000,5808,0,10192,0,0,50,4,1000,1010,edf_dynamic_reservation,4000,3088,0.772,0.6349242424242589,0.230477500000006,0.1569552000000003,5808,0.22349927824781546,4000,4000,0.208711412064713,1848,0.4863564257756957,0.25985688652314437,0.7401431134768557,0.592,0.2776450137109827,0.3160102367401123,periodic,1.0,,,,,,,,,
