period_ms,lines,configuration,mandatory_dmr,historical_coverage_adjusted_dice,historical_weighted_coverage_utility,historical_mandatory_effective_dice,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate
50,4,EDF-Dynamic-Reservation,0.7578,0.2316487300000067,0.22405689440591425,0.1667304800000003,0.20466246961917173,0.26105283434763005,0.5843999999999999
50,4,HBTASP-Dynamic,0.25,0.166396305000002,0.2137034301347843,0.516300000000001,0.09185745260955415,0.10703588577067469,0.734725
50,5,EDF-Dynamic-Reservation,0.8154,0.18552213000000523,0.17864080328728307,0.12707864000000021,0.16211533834389308,0.2033675756885624,0.6694000000000001
50,5,HBTASP-Dynamic,0.4,0.13311743700000161,0.17190874806917952,0.4130400000000008,0.07505263162042237,0.08702190750764231,0.7861800000000001
50,6,EDF-Dynamic-Reservation,0.8406666666666667,0.15464250333333782,0.1493590853521365,0.10968506666666684,0.13517697148071334,0.1684478878852938,0.7234666666666667
50,6,HBTASP-Dynamic,0.5,0.1109261212500013,0.1433520737440301,0.3442000000000006,0.060731465170648244,0.06878667918557213,0.8216833333333333
50,7,EDF-Dynamic-Reservation,0.8658571428571429,0.13273796857143233,0.1279561610466458,0.092343942857143,0.11580955719486388,0.14445262859040542,0.7636857142857143
50,7,HBTASP-Dynamic,0.5714285714285714,0.095079672857144,0.12326015085891376,0.295028571428572,0.051617883611670544,0.05875917671063434,0.8474285714285715
50,8,EDF-Dynamic-Reservation,0.8789,0.1158243650000033,0.11202844720295764,0.0833652400000001,0.10233123480958584,0.13052641717381502,0.7922
50,8,HBTASP-Dynamic,0.625,0.083196678750001,0.10841318141218763,0.2581500000000005,0.04323173180223126,0.04832426932593668,0.8687125
50,9,EDF-Dynamic-Reservation,0.8956666666666667,0.10324064222222513,0.09952145859183611,0.07182306666666675,0.09007410004044968,0.11235204445920419,0.8161999999999999
50,9,HBTASP-Dynamic,0.6666666666666666,0.0739516208333342,0.09645183256789724,0.2294666666666671,0.03884032118820454,0.04313707962487129,0.8826333333333334
50,10,EDF-Dynamic-Reservation,0.9086000000000001,0.09302321500000266,0.08949212891717684,0.06291976000000009,0.0826676089070746,0.10648605087466245,0.8328
50,10,HBTASP-Dynamic,0.7,0.0665568517500008,0.08706593521427584,0.2065200000000004,0.03451847378985288,0.03665277618763714,0.89703
60,4,EDF-Dynamic-Reservation,0.5422,0.3244239100000042,0.32175322740522566,0.3151495200000006,0.249027664617243,0.36069557406245656,0.45760000000000006
60,4,HBTASP-Dynamic,0.25,0.2751128118750126,0.32895444418567116,0.516300000000001,0.17397119213636345,0.2500540716487262,0.5539000000000001
60,5,EDF-Dynamic-Reservation,0.6394,0.2587813850000035,0.2563630411430885,0.24823704000000046,0.19381161009770195,0.2727577554693761,0.5711999999999999
60,5,HBTASP-Dynamic,0.4,0.22008769500001005,0.2662944343661577,0.4130400000000008,0.14052282825914936,0.1927885021254856,0.6208199999999999
60,6,EDF-Dynamic-Reservation,0.6951333333333334,0.21632332000000276,0.21454510213988823,0.20987021333333372,0.1659970378072769,0.23170498541425513,0.6362666666666666
60,6,HBTASP-Dynamic,0.5,0.18340805000000837,0.22406887272520942,0.3442000000000006,0.11738008142075147,0.1573107431161749,0.6717833333333333
60,7,EDF-Dynamic-Reservation,0.7393142857142857,0.1850442392857167,0.183593841235352,0.17945604571428603,0.141399652801055,0.1974599348453118,0.6901714285714287
60,7,HBTASP-Dynamic,0.5714285714285714,0.15720675964286432,0.19369635598286716,0.295028571428572,0.09898332775266719,0.12824880499242397,0.7133428571428572
60,8,EDF-Dynamic-Reservation,0.7711,0.1622119550000021,0.16087661370261372,0.1575747600000003,0.12451383230862148,0.18034778703122822,0.7288
60,8,HBTASP-Dynamic,0.625,0.1375565287500063,0.17043135705559798,0.2581500000000005,0.08455960686514191,0.10739059135590508,0.7503875
60,9,EDF-Dynamic-Reservation,0.7972444444444444,0.14392329722222413,0.1427952098497191,0.13957692444444464,0.10997750773415385,0.15357994932413138,0.7590222222222223
60,9,HBTASP-Dynamic,0.6666666666666666,0.12227290666667219,0.15238264285219308,0.2294666666666671,0.07446956546783154,0.09305942398179642,0.7765888888888889
60,10,EDF-Dynamic-Reservation,0.8192,0.12980199500000167,0.12860644432397716,0.12446272000000021,0.0979510325703217,0.14223299094275152,0.7838
60,10,HBTASP-Dynamic,0.7,0.11004600900000501,0.13796936375235358,0.2065200000000004,0.066203923538818,0.0780502521791245,0.8010100000000001
