mandatory_count,mandatory_service_failure_rate_mean,mandatory_service_failure_rate_ci95_low,mandatory_service_failure_rate_ci95_high,mandatory_admitted_dmr_mean,mandatory_admitted_dmr_ci95_low,mandatory_admitted_dmr_ci95_high,optional_region_on_time_coverage_mean,optional_region_on_time_coverage_ci95_low,optional_region_on_time_coverage_ci95_high,defect_region_mandatory_coverage_mean,defect_region_mandatory_coverage_ci95_low,defect_region_mandatory_coverage_ci95_high,defect_region_on_time_coverage_mean,defect_region_on_time_coverage_ci95_low,defect_region_on_time_coverage_ci95_high,all_defect_regions_on_time_image_rate_mean,all_defect_regions_on_time_image_rate_ci95_low,all_defect_regions_on_time_image_rate_ci95_high,any_defect_region_on_time_image_rate_mean,any_defect_region_on_time_image_rate_ci95_low,any_defect_region_on_time_image_rate_ci95_high,mean_complete_image_dice_mean,mean_complete_image_dice_ci95_low,mean_complete_image_dice_ci95_high,pixel_defect_recall_mean,pixel_defect_recall_ci95_low,pixel_defect_recall_ci95_high,image_complete_miss_rate_mean,image_complete_miss_rate_ci95_low,image_complete_miss_rate_ci95_high
1,0.032499999999999994,0.03249999999999999,0.0325,0.0,0.0,0.0,0.7333626944444445,0.7329410954809239,0.733784293407965,0.3136863136863136,0.3136863136863136,0.3136863136863136,0.8153839493839493,0.8143202648990053,0.8164476338688933,0.7389642916666667,0.7371860306769169,0.7407425526564164,0.8918951666666665,0.8913584061170449,0.8924319272162881,0.4067955920133139,0.40614222806246203,0.40744895596416575,0.5301823397602626,0.5283813634262661,0.5319833160942592,0.16884595833333332,0.16804989727017247,0.16964201939649418
2,0.18208333333333332,0.18208333333333332,0.18208333333333332,0.0,0.0,0.0,0.5255948958333333,0.5252395240783803,0.5259502675882863,0.5664335664335665,0.5664335664335665,0.5664335664335665,0.702992007992008,0.7016358386670504,0.7043481773169656,0.5984766666666667,0.5967069602764095,0.6002463730569239,0.79029375,0.7885617751108709,0.7920257248891291,0.3636795260081257,0.36261000529154935,0.36474904672470204,0.45478437098832936,0.4529723571978514,0.4565963847788073,0.26479929166666666,0.26276972885179783,0.2668288544815355
3,0.34125,0.34125,0.34125,0.0,0.0,0.0,0.5192575,0.5184962429220336,0.5200187570779665,0.7882117882117881,0.788211788211788,0.7882117882117882,0.6273426573426573,0.6255622933357384,0.6291230213495761,0.55229,0.5503130881828497,0.5542669118171502,0.68509,0.6833180821949363,0.6868619178050637,0.31672693901410126,0.31503085671304815,0.3184230213151544,0.3982437655550437,0.3938424109445256,0.4026451201655618,0.3635902083333333,0.3613732723909719,0.36580714427569466
4,0.4684375,0.4684375,0.4684375,0.0,0.0,0.0,,,,1.0,1.0,1.0,0.5268006993006994,0.5255639121439972,0.5280374864574016,0.49797,0.4973530426323053,0.49858695736769476,0.5567216666666666,0.5559128393518991,0.5575304939814341,0.2666905430264577,0.26561174533471393,0.2677693407182015,0.3329542306985026,0.3290536769004277,0.3368547844965775,0.48198833333333335,0.4806573478960417,0.483319318770625
