configuration,mandatory_count,total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,mandatory_released,mandatory_unique_terminal_uids,mandatory_pre_reject,mandatory_wait_expire,mandatory_late_complete,mandatory_on_time,mandatory_terminal_residual,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_terminal_table_sha256,period_ms,lines,epochs,seed,budget_mode,network_mode,release_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,fixed_voltage_index,enforce_thermal_feasibility,plant_thermal_response_factor,plant_ambient_c,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,optional_region_on_time_coverage,defect_region_mandatory_coverage,defect_region_on_time_coverage,all_defect_regions_on_time_image_rate,any_defect_region_on_time_image_rate,defect_positive_regions,defective_images_for_coverage
HBTASP-Top1,1,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,7cf8bd76105a69cbcfa528024b06ba0685b7cf989f92593219acc9df57a75972,100,8,1000,101,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,8000,8000,0.21638685118051704,5476,0.4016916167257847,0.23426989488422031,0.7657301051157797,0.478,0.18530476554526765,0.16666666666666666,0.31368631368631367,0.36813186813186816,0.221,0.577,16016,8000
HBTASP-Top1,1,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,cecd2e2b4015e0253a77c84bc8294dc40fcdb67626c85441a4885ac7e1e0a2cf,100,8,1000,202,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,8000,8000,0.21483148016426531,5361,0.4052169129396313,0.22780805467270127,0.7721919453272987,0.484375,0.190385432775366,0.16666666666666666,0.31368631368631367,0.36413586413586413,0.229,0.567,16016,8000
HBTASP-Top1,1,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,bd7b84aea338fe302b0ee7d2c48f979d735627420e20962c2e02d923a38d6eb4,100,8,1000,303,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,8000,8000,0.21398866596853583,5389,0.40403165913279954,0.22988599062928436,0.7701140093707156,0.482375,0.1900429931642637,0.16666666666666666,0.31368631368631367,0.36363636363636365,0.224,0.576,16016,8000
HBTASP-Top1,1,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,5ca264925b9e61abe6af384f83d2bd438e28677b091df6a9162c7f00606a3ba8,100,8,1000,404,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,8000,8000,0.20822008276993545,5370,0.390377256109193,0.22930155214481046,0.7706984478551895,0.49,0.18215717333925754,0.16666666666666666,0.31368631368631367,0.36563436563436563,0.226,0.57,16016,8000
HBTASP-Top1,1,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,e0562cda5afacd25e9cea92463a72bba01cebcb83b3a0e2cf87acf3c559f242f,100,8,1000,505,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,8000,8000,0.21082511057606257,5298,0.4024436209010948,0.2269121066174219,0.7730878933825781,0.486875,0.19161851032503224,0.16666666666666666,0.31368631368631367,0.36363636363636365,0.228,0.566,16016,8000
HBTASP-Top1,1,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,b3f7d87e9e930f58c751ea196132bfa7bbd098461be2f291f3de0fd681adfca1,100,8,1000,606,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,8000,8000,0.21682343884831684,5457,0.398675091689466,0.2293617903106408,0.7706382096893591,0.479,0.18185165284114918,0.16666666666666666,0.31368631368631367,0.3711288711288711,0.226,0.58,16016,8000
HBTASP-Top1,1,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,3229d72bc8e3fae88853d8b2ca6a7c360b501109e3ed6d246910f2374674f459,100,8,1000,707,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,8000,8000,0.21417608469128777,5467,0.39648243478381484,0.23275410625128432,0.7672458937487157,0.482,0.18230635009252708,0.16666666666666666,0.31368631368631367,0.3661338661338661,0.226,0.576,16016,8000
HBTASP-Top1,1,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,27de0289d48909259c3ec73273a30652238c998725af9bca56b9346640409341,100,8,1000,808,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,8000,8000,0.21582652930666002,5430,0.39914804716345526,0.23096947395786582,0.7690305260421342,0.48325,0.18332151785679524,0.16666666666666666,0.31368631368631367,0.3696303696303696,0.217,0.577,16016,8000
HBTASP-Top1,1,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,dc764352a55b9710473d6c335317ee1833e6e0e75afae6c4e03aa4de75f0bf00,100,8,1000,909,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,8000,8000,0.21711205462468974,5496,0.40183185070169875,0.22843574120319804,0.7715642587968019,0.476,0.184719796077009,0.16666666666666666,0.31368631368631367,0.37012987012987014,0.223,0.581,16016,8000
HBTASP-Top1,1,32000,2000,20000,0,0,10000,0,0,8000,8000,2000,0,0,6000,0,0.25,0.0,0.25,3e60c13bb053d2a15d370770980f7254e411ef520a9a5217c622de4cf4d89024,100,8,1000,1010,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,8000,8000,0.21933462973534854,5408,0.4062895902812889,0.2366149435491163,0.7633850564508837,0.475375,0.18695496054594038,0.16666666666666666,0.31368631368631367,0.3756243756243756,0.232,0.579,16016,8000
