mandatory_count,period_ms,mandatory_service_failure_rate,mandatory_admitted_dmr,optional_region_on_time_coverage,defect_region_mandatory_coverage,defect_region_on_time_coverage,all_defect_regions_on_time_image_rate,any_defect_region_on_time_image_rate,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate
1,100,0.1625,0.0,0.3370222222222222,0.3136863136863136,0.510493672993673,0.3721,0.6847916666666667,0.27295300345509094,0.330260635787524,0.37373375
1,150,0.0,0.0,0.5733055555555555,0.3136863136863136,0.7204940892440892,0.6008708333333334,0.8568208333333333,0.3689115353201006,0.4685635330229818,0.2077379166666667
1,200,0.0,0.0,0.8278666666666666,0.3136863136863136,0.8951365301365302,0.8166070833333332,0.9473425000000001,0.43827527734251276,0.5853732205743009,0.111929375
1,250,0.0,0.0,0.9490361111111112,0.3136863136863136,0.9657883782883783,0.934175,0.9797833333333333,0.4697311498304176,0.6300090136930131,0.08004479166666664
1,300,0.0,0.0,0.9795829166666667,0.3136863136863136,0.9850070762570763,0.9710685416666667,0.9907375,0.4841069941184476,0.6367052957234931,0.07078395833333333
2,100,0.51875,0.0,0.3208083333333333,0.5664335664335665,0.4331918081918082,0.3076083333333334,0.540725,0.2289199240751875,0.28429656123272146,0.499055625
2,150,0.26041666666666663,0.0,0.36607500000000004,0.5664335664335665,0.5917790542790542,0.4646,0.7035083333333334,0.3154950521715425,0.385824437235166,0.34892625
2,200,0.10625,0.0,0.5166322916666667,0.5664335664335665,0.7408789127539127,0.6285395833333334,0.8332083333333333,0.38385845085697934,0.4824138424396117,0.22484583333333333
2,250,0.025,0.0,0.6116083333333333,0.5664335664335665,0.8235431235431235,0.7258833333333333,0.9083916666666667,0.42644794555526355,0.5278135187203026,0.15516875
2,300,0.0,0.0,0.8128505208333333,0.5664335664335665,0.9255671411921412,0.8657520833333333,0.9656354166666666,0.4636762573816558,0.5935734953138454,0.09599999999999999
3,100,0.6791666666666667,0.0,0.599,0.7882117882117882,0.37652763902763897,0.30656666666666665,0.4558,0.18660214378886406,0.23906431244258147,0.583305625
3,150,0.4652777777777778,0.0,0.46765,0.7882117882117882,0.5146478521478521,0.44049166666666667,0.5848416666666667,0.25972798492805155,0.3271840796436645,0.4574933333333333
3,200,0.2930555555555555,0.0,0.5322625,0.7882117882117882,0.6693431568431568,0.593725,0.7148749999999999,0.3353227160081739,0.4256993864159215,0.33321875
3,250,0.1625,0.0,0.34791666666666665,0.7882117882117882,0.7343531468531468,0.632575,0.7984583333333333,0.3792474909260754,0.46464089504871575,0.25799999999999995
3,300,0.10625,0.0,0.6494583333333332,0.7882117882117882,0.8418414918414918,0.7880916666666666,0.871475,0.42273435941934145,0.5346301542243352,0.18593333333333334
4,100,0.759375,0.0,,1.0,0.2368215118215118,0.20073333333333335,0.270975,0.12481449872479258,0.14838166035020234,0.74855
4,150,0.5989583333333333,0.0,,1.0,0.3971320346320346,0.3597166666666667,0.43406666666666666,0.20444801849075106,0.2525695438883334,0.5971583333333333
4,200,0.4385416666666667,0.0,,1.0,0.555994005994006,0.5188416666666666,0.5920583333333334,0.2829555185509731,0.35378493950995316,0.4484916666666667
4,250,0.309375,0.0,,1.0,0.6874084249084249,0.664925,0.7101,0.34532024597327193,0.43504317063399534,0.338725
4,300,0.2359375,0.0,,1.0,0.7566475191475192,0.7456333333333334,0.7764083333333334,0.37591443339249986,0.474991839110029,0.27701666666666663
